,Reaction_ID,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
EX_gln__L_e: gln__L_e --> ,EX_gln__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_hco3_e: hco3_e <=> ,EX_hco3_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_mn2_e: mn2_e <=> ,EX_mn2_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EX_arg__L_e: arg__L_e --> ,EX_arg__L_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADPT: ade_c + prpp_c <=> amp_c + ppi_c,ADPT,inf,inf,inf,inf,inf,inf,inf,inf,inf
O2tcx: o2_c --> o2_cx,O2tcx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOXPBDC: 2a3pp_c + h_c --> 3a2oxpp_c + co2_c,AOXPBDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNTPPA: ahdt_c + h2o_c --> dhpmp_c + h_c + ppi_c,DNTPPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBMD: cbm_c + 2.0 h_c --> co2_c + nh4_c,CBMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIOMASS_PIGMENTS: 0.1707 calxan_c + 0.1138 caro_c + 0.5691 cholphya_c + 0.5691 hpdcn_c + 0.0569 nstxan_c + 0.0524 phycy_c + 0.2276 zeax_c --> bm_pigm_c,BIOMASS_PIGMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2Otu_syn: h2o_u <=> h2o_c,H2Otu_syn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTMPK: atp_c + dtmp_c <=> adp_c + dtdp_c,DTMPK,1810.0,2030.0,1568.0,2020.0,1758.0,1736.0,946.0,1376.0,1598.0
BIOMASS__1: 30.0 atp_c + 0.0977 bm_carbs_c + 0.00119 bm_cofactors_c + 0.0795 bm_cw_c + 0.0073 bm_dna_c + 0.159 bm_memlip_c + 0.0197 bm_pigm_c + 0.5112 bm_pro_c + 0.1136 bm_rna_c + 30.0 h2o_c --> 30.0 adp_c + 30.0 h_c + 30.0 pi_c,BIOMASS__1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORNTA: akg_c + orn_c <=> glu5sa_c + glu__L_c,ORNTA,inf,inf,inf,inf,inf,inf,inf,inf,inf
ATPM: atp_c + h2o_c --> adp_c + h_c + pi_c,ATPM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOATA: ACP_c + accoa_c --> acACP_c + coa_c,ACOATA,4691.0,5294.0,3826.0,4813.0,4716.0,4054.0,1790.0,3524.0,3105.0
5DOAN: dad_5_c + h2o_c --> 5drib_c + ade_c,5DOAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3HAD160: 3hpalmACP_c <=> h2o_c + tpalm2eACP_c,3HAD160,1636.0,1826.0,1332.0,1591.0,1476.0,999.0,711.0,1132.0,1436.0
RNDR3: cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,RNDR3,28195.0,26841.0,22287.0,19726.0,17817.0,15050.0,12523.0,10904.0,9458.0
Htex: h_e <=> h_p,Htex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5SD: glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c,G5SD,20578.0,23123.0,19829.0,25519.0,20047.0,20535.0,12402.0,16955.0,19772.0
HISTDa: histd_c + nad_c --> h_c + histda_c + nadh_c,HISTDa,22946.0,25799.0,22763.0,29749.0,24686.0,26093.0,15009.0,23037.0,23684.0
TRPS3: 3ig3p_c --> g3p_c + indole_c,TRPS3,3922.0,4500.0,3382.0,4196.0,3584.0,3638.0,2308.0,3407.0,3780.0
DMBZIDS2: fmnh2_c + h_c + nadh_c + o2_c --> dialurate_c + dmbzid_c + e4p_c + h2o_c + nad_c,DMBZIDS2,11214.0,12125.0,10260.0,11519.0,10167.0,9387.0,5912.0,8199.0,7513.0
HSTPT: glu__L_c + imacp_c <=> akg_c + hisp_c,HSTPT,17080.0,17425.0,15619.0,17314.0,14256.0,13424.0,8566.0,11774.0,11645.0
ZCAROTDH2: h_c + nadph_c + neuspn_c + o2_c --> 2.0 h2o_c + lycop_c + nadp_c,ZCAROTDH2,7909.0,8136.0,6940.0,7471.0,7304.0,6960.0,3520.0,5678.0,4576.0
ORNDC: h_c + orn_c --> co2_c + ptrc_c,ORNDC,2104.0,2436.0,2074.0,2268.0,2042.0,2331.0,1200.0,1620.0,1338.0
