Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
114)PYR,123575,142656,110177,64895,63723.6,76713,118702,63842,85540,106508,109802,106827,61512,84539,81299,121972,152474,142551,201644,197196,177227,330907,195197,213347,91669,235233,145907,135030,135657,143618,84087.3,75219,77667,94688,107707,124145,84956,75905,87510,144702,171044,165840,161339,227096,160237,202911,337541,297248.6,219837,195665,207550,245882,253436,174657
115)LACA,5617,6200,6400,6995,7038.9,6040,6238,6299,19899,5723,6563,18901,7060,7193,22858,13860,14164,22328,45258,13364,16648,43717,20385,20470,13884,40284,9669,6406,6324,5709,8236.5,8653,7820,6657,6809,23157,5982,4117,5128,10525,17572,24041,20749,18361,27462,16377,65147,40354.38,28834,20937,20469,15861,65168,16261
116)ALA,362804,346109,281133,151103,182531.835,190078,300666,175823,217544,258475,255686,243313,171540,245430,212255,321756,426717,357095,491592,428317,488555,682516,540835,593871,226767,653242,331677,344650,345878,337704,149769.45,153035,179786,235447,268013,319175,237732,205023,244021,396330,487553,440864,357335,535154,404449,568877,902875,765311.04,554910,468241,545044,629706,695662,477540
117)GLY,252244,234559,182766,82099,95075.525,118060,201918,103796,135137,169220,171432,157936,106266,155545,135045,260883,340729,289324,427779,346653,376337,500576,404880,400583,143479,518713,235117,229135,240304,222658,92488.73,76486,106660,144904,176193,218194,151066,136700,164152,321711,417018,347752,257627,406552,299415,445069,710755,537458.16,410284,360377,442981,470467,564856,362018
118)VAL,207291,210857,168531,85338,110129.22,118605,173664,99098,124621,146053,145543,140628,102250,141292,125197,189138,253055,214383,342234,273245,312095,549497,340488,309203,146091,400432,205836,205748,201646,205731,108266.025,96570,109651,137008,157635,184350,142060,123544,143040,232280,286827,264603,269888,287101,249317,347278,602304,479538.91,373373,289250,350909,391540,452276,319635
119)LEU,298167,294771,237533,123703,159816.89,169539,244530,140497,177165,208227,206492,199003,148791,202072,178713,298475,386246,335769,490953,415042,438832,726801,482856,527727,216128,565926,306976,286099,280618,284767,164490.7,139683,159391,194433,223544,259481,205629,178226,206600,358641,431248,405219,400690,430346,388078,519893,822776,718327.915,443301,428647,431127,561591,627749,459052
120)ILE,558263,559182,476994,255027,284332.61,349936,485909,289866,354940,401160,399621,385623,291935,383437,346240,499706,628346,555549,802757,654725,682019,1127600,785447,858888,425644,864726,574452,548202,540628,544662,288456.75,288524,352491,388492,450746,501313,406553,355472,363047,586586,662200,649718,689659,760030,639461,829180,1167312,908403.86,732424,792553,685940,788712,926085,739087
121)PRO,97312,93115,80046,34405,38083.965,47496,76467,41445,51688,57051,60935,52837,41773,53582,45909,112365,145351,125544,171432,142189,126320,203042,160028,154322,64578,210024,94184,96194,97475,95275,44591.55,36130,48005,59265,69888,80498,55458,52336,64269,143735,176244,160486,132294,184207,133411,173776,292238,226016.79,151686,153926,158516,201456,241543,152370
122)SUC,104684,112634,84173,41721,46929.5,58129,95884,46929,65034,82902,80260,73649,47830,69847,62725,108953,147644,127355,198294,166270,151064,271990,190161,190738,75300,235963,113841,108135,104631,103099,52268.525,51313,58726,72599,79802,96535,64893,55318,63952,137704,157810,157616,137679,180003,142420,196041,336579,255657.6,175814,159651,158195,217200,245968,178163
123)FUM,92426,104147,72351,24219,29266.77,33735,85840,40041,55581,76837,73140,71962,38833,65002,57000,101398,139082,115546,189679,162687,146750,254369,167715,184800,60771,185263,100770,100247,94350,95156,31778.775,25118,35413,63754,71904,82584,55659,46684,56789,128229,158786,150157,138752,179491,130063,200742,340170,292092.48,160172,146770,147820,216522,234068,156862
124)GRO,12154,12279,10984,6472,7818.57,7874,10416,6223,7897,9112,9129,9101,6215,7814,7665,12004,14727,13390,23388,18995,21479,34105,25059,25289,12319,28211,16298,12313,12009,11996,10936.75,7286,15264,8807,9746,10979,8507,7618,8125,13671,16431,15854,19626,22037,19044,31511,57539,40517.75,23466,20872,20747,25767,30228,23616
125)MET,36136,36266,30645,12452,16707.35,17925,31414,16529,21321,26515,26461,25330,17153,24954,21730,44022,58921,50910,81250,65256,69176,169595,62958,80228,27529,97950,51418,35745,35536,36402,16643.285,14714,18243,23953,27688,32731,25067,110770,25812,54426,67694,61986,55648,90532,58841,79428,139642,120488.5,69210,66093,65330,92672,105883,70170
126)SER,163146,156305,140681,239861,290116.32,364548,83550,45079,56845,62769,60842,57402,37512,58325,48246,90476,120958,103411,171304,130383,145316,211842,125659,169906,50226,168761,104400,163627,167668,156177,277584.75,268440,348415,63059,73495,89177,54038,45965,57383,112443,138096,123745,88523,180019,110507,158196,278016,198476.46,130184,129094,136446,179020,190063,114441
127)THR,92421,92705,77809,29626,39114.45,47069,76562,40480,51740,59087,59908,57099,37187,54464,45904,78413,113929,97581,156730,123303,144469,127301,112630,141991,44343,159067,99491,91198,90175,87987,43185.46,35230,46252,58439,66494,80585,57960,49558,59757,109610,142962,128517,96808,190981,126163,148955,281012,232182.18,133192,134281,131056,187967,232527,117547
128)PHE,110017,106338,95425,42982,46648.42,59542,90042,50629,63771,75949,75000,71844,52009,71429,63519,110965,148095,128399,202583,162838,183837,237655,198062,186498,83785,205612,153555,105468,104284,105332,51185.34,48406,61670,70950,80951,91726,70948,61483,72978,135537,164851,153355,168798,230001,179412,186811,325916,266618.04,176033,168742,170500,226087,262402,184995
129)2KG,11229,8816,7342,6321,7932.6,11307,13352,9072,10191,18997,20168,21215,10396,22168,28469,14781,24888,18506,78289,40692,44437,52835,45501,65712,10587,43005,33858,8257,11247,11343,9134.975,8448,10387,9171,10436,13542,14638,9236,11097,7230,8318,8761,7699,10604,8240,30117,68062,44180.55,36039,22241,17588,53356,28354,24431
130)MAL,54866,57311,45550,18316,23585.65,24567,46903,24819,31773,41005,40195,38675,22252,34434,30637,54872,75062,63779,101614,85437,92899,132775,100761,109874,37704,109780,71917,56584,54451,54590,22308.62,22264,26233,35473,41369,47220,31836,27426,32930,68452,82322,76363,81864,120581,86781,103049,188426,139908,88623,84648,87063,120198,140485,94534
131)GLU,242466,229293,198425,80654,103055.62,119454,196692,109045,137996,171387,165903,156100,105997,161006,134546,248751,329426,282427,359158,345454,360847,396551,390161,424052,147673,484022,288357,235737,232859,224280,107538.6,91998,114807,153887,173144,204677,147063,128040,155576,310411,369581,333603,332603,444126,346077,403376,602791,467867.655,344444,334987,358730,454711,443433,360065
132)ASN,166568,163285,125391,28647,45875.5,67933,167465,77278,94599,129449,116198,114104,51252,109640,75919,114942,154404,138350,306477,245048,247501,219579,228231,243034,60400,362831,140104,177974,182492,161708,51558.66,36814,58665,111008,134774,172990,90941,71459,100817,193289,248326,223904,208524,347396,216782,311240,506288,408764,200529,201389,220414,291356,339786,205384
133)LYS,8359,6885,5962,1402,1895.66,2719,6721,3004,4121,5413,5810,5288,2440,3792,3223,10532,16194,13168,17108,14360,12950,7862,14677,13968,3006,22444,6671,7499,8290,14874,10147.98,6690,16229,15644,5300,14533,3772,3291,18946,13780,16638,14120,3937,16398,9820,14454,23751,19293.525,11685,13510,13817,16353,17728,11174
134)GLN,102419,33517,71137,16157,21611.72,25404,59338,38850,60536,94713,86600,74426,252819,270458,216245,197534,288849,267105,110268,161972,117244,240270,237744,242796,60485,253072,88508,72210,89479,42967,11278.08,4280,19216,41670,37771,24461,10953,17761,22835,27511,38009,43674,6161,14192,14530,5870,5927,5367.635,61610,95109,144886,42520,59818,79639
135)HIS,12030,7906,6100,1499,1642.075,1958,9738,4363,12746,10077,10772,8430,2352,5145,5474,25280,38464,30789,34553,31090,25445,19647,28919,30003,6409,48411,14938,9339,11506,7560,1931.6,1464,2048,6446,6160,5483,3715,3689,6520,33154,40759,32490,11887,27237,16163,24232,42769,35175.525,18904,21438,32093,32267,28072,17746
136)CIT,55364,65653,46868,14255,17039.205,19486,26800,15748,18992.5,22237,21755,21104,13340,21290,20139,31294,43682,39722,105426,74408,86169,111940,84908,101461,45326,109727,69838,59747,52607,66782,18650.625,15612,19913,21213,24504,29777,15503,13364,16532,33380,41543,38256,25187,49172,34971,49139,73454,56813.185,42209,41633,44082,58428,55333,38499
137)TYR,111655,122282,101635,40366,44157.15,57761,106732,59728,77965,96202,98191,91726,58376,80262,76260,172129,228061,200337,284563,241686,245601,304094,232654,250973,112316,302317,170861,121002,118553,126050,48717.405,40039,58380,86296,94998,107845,80374,75212,88292,206040,240881,220441,149147,302125,220922,245758,438545,366102.105,230114,227830,252434,294089,281955,213972
