,Phenotype,Time,Subject
Se_Rt_cc_d1_1,Se-Rt co-culture,1,Se_Rt_cc_d1
Se_Rt_cc_d1_2,Se-Rt co-culture,1,Se_Rt_cc_d1
Se_Rt_cc_d1_3,Se-Rt co-culture,1,Se_Rt_cc_d1
Se_Rt_cc_d2_1,Se-Rt co-culture,2,Se_Rt_cc_d2
Se_Rt_cc_d2_2,Se-Rt co-culture,2,Se_Rt_cc_d2
Se_Rt_cc_d2_3,Se-Rt co-culture,2,Se_Rt_cc_d2
Se_Rt_cc_d3_1,Se-Rt co-culture,3,Se_Rt_cc_d3
Se_Rt_cc_d3_2,Se-Rt co-culture,3,Se_Rt_cc_d3
Se_Rt_cc_d3_3,Se-Rt co-culture,3,Se_Rt_cc_d3
Se_Rt_cc_d4_1,Se-Rt co-culture,4,Se_Rt_cc_d4
Se_Rt_cc_d4_2,Se-Rt co-culture,4,Se_Rt_cc_d4
Se_Rt_cc_d4_3,Se-Rt co-culture,4,Se_Rt_cc_d4
Se_Rt_cc_d5_1,Se-Rt co-culture,5,Se_Rt_cc_d5
Se_Rt_cc_d5_2,Se-Rt co-culture,5,Se_Rt_cc_d5
Se_Rt_cc_d5_3,Se-Rt co-culture,5,Se_Rt_cc_d5
Se_Rt_cc_d6_1,Se-Rt co-culture,6,Se_Rt_cc_d6
Se_Rt_cc_d6_2,Se-Rt co-culture,6,Se_Rt_cc_d6
Se_Rt_cc_d6_3,Se-Rt co-culture,6,Se_Rt_cc_d6
Se_Rt_cc_d7_1,Se-Rt co-culture,7,Se_Rt_cc_d7
Se_Rt_cc_d7_2,Se-Rt co-culture,7,Se_Rt_cc_d7
Se_Rt_cc_d7_3,Se-Rt co-culture,7,Se_Rt_cc_d7
Se_Rt_cc_d8_1,Se-Rt co-culture,8,Se_Rt_cc_d8
Se_Rt_cc_d8_2,Se-Rt co-culture,8,Se_Rt_cc_d8
Se_Rt_cc_d8_3,Se-Rt co-culture,8,Se_Rt_cc_d8
Se_Rt_cc_d9_1,Se-Rt co-culture,9,Se_Rt_cc_d9
Se_Rt_cc_d9_2,Se-Rt co-culture,9,Se_Rt_cc_d9
Se_Rt_cc_d9_3,Se-Rt co-culture,9,Se_Rt_cc_d9
Se_axen_d1_1,Se axenic,1,Se_axen_d1
Se_axen_d1_2,Se axenic,1,Se_axen_d1
Se_axen_d1_3,Se axenic,1,Se_axen_d1
Se_axen_d2_1,Se axenic,2,Se_axen_d2
Se_axen_d2_2,Se axenic,2,Se_axen_d2
Se_axen_d2_3,Se axenic,2,Se_axen_d2
Se_axen_d3_1,Se axenic,3,Se_axen_d3
Se_axen_d3_2,Se axenic,3,Se_axen_d3
Se_axen_d3_3,Se axenic,3,Se_axen_d3
Se_axen_d4_1,Se axenic,4,Se_axen_d4
Se_axen_d4_2,Se axenic,4,Se_axen_d4
Se_axen_d4_3,Se axenic,4,Se_axen_d4
Se_axen_d5_1,Se axenic,5,Se_axen_d5
Se_axen_d5_2,Se axenic,5,Se_axen_d5
Se_axen_d5_3,Se axenic,5,Se_axen_d5
Se_axen_d6_1,Se axenic,6,Se_axen_d6
Se_axen_d6_2,Se axenic,6,Se_axen_d6
Se_axen_d6_3,Se axenic,6,Se_axen_d6
Se_axen_d7_1,Se axenic,7,Se_axen_d7
Se_axen_d7_2,Se axenic,7,Se_axen_d7
Se_axen_d7_3,Se axenic,7,Se_axen_d7
Se_axen_d8_1,Se axenic,8,Se_axen_d8
Se_axen_d8_2,Se axenic,8,Se_axen_d8
Se_axen_d8_3,Se axenic,8,Se_axen_d8
Se_axen_d9_1,Se axenic,9,Se_axen_d9
Se_axen_d9_2,Se axenic,9,Se_axen_d9
Se_axen_d9_3,Se axenic,9,Se_axen_d9
