,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
DTMPKI-RXN,178.2719998,156.596015,187.7860026,160.7629364,123.430272,114.5411989,132.9700483,140.0035218,116.5675217,169.8006649,143.0424245,182.8887086,235.2338829,227.9166429,207.9882509,185.9099982,149.8086446,138.1307167,172.4336152,116.7757529,138.3643539,145.8000662,195.6654261,149.1965522
ACOATA,404.6173479,452.8369299,367.335777,583.7704128,636.0640632,599.5354648,566.705682,541.3469508,544.3382434,432.8252242,395.6492591,367.9546637,291.3385159,294.9509497,293.4245022,569.6691689,588.9029478,576.8988758,582.3553457,525.0002337,539.3565896,583.2002646,533.1333238,503.1299791
3HAD160,241.3682694,171.1255421,172.1371691,183.8726085,116.4624341,99.06265855,165.6849014,131.8366497,104.8038268,178.679131,120.7237483,172.0024759,314.997096,287.4095902,280.1188565,264.3674287,224.7129669,82.87843004,169.2984585,158.9720334,155.1090846,268.8606725,193.4669381,235.2296006
RNDR3,2704.12584,2629.037221,2801.141205,5320.248426,6440.273066,6515.433605,4435.500897,4978.291895,4880.863935,5450.2684,4362.286703,4289.175665,2074.519502,1727.809256,1703.122647,5425.501875,4777.518212,6622.961601,6265.610544,7346.078037,7799.51931,10922.96642,5126.87386,4654.49682
GLUTSEMIALDEHYDROG-RXN,1862.8422449999998,1853.321909,1853.974964,1931.1647736,1893.2611083000002,1781.0640485,1973.4443672,2080.218994,1932.4542351999999,1725.751855,1624.1909329,1851.7481739,2100.8819199,1969.1327606,2043.4670585,2109.8226406,2228.1883459,1980.9569851,2197.7448045,2174.5804077,2157.4263579,1872.6613999,1917.0814779000002,1769.6671340000003
HISTDa,1956.985886,1745.964847,1811.146578,1840.735622,1626.492456,1488.003684,1745.495713,1500.371075,1343.200066,1611.441604,1243.758953,1372.753938,1706.12161,1807.412496,1817.971379,2351.164519,2167.059532,2175.965055,2018.257087,1691.776454,1710.606438,1783.041176,1839.035156,1790.358627
TRPS3,606.9260218,588.4458501,519.7059984,638.0279038,698.7746047,599.5354648,526.603604,528.5132946,547.5465238,531.5981599,474.7791109,420.2085804,358.9344592,367.0128294,343.1455992,562.8467837,554.4641789,399.7665449,628.5989062,582.8974558,564.0330348,613.9654162,622.1720851,651.2375054
DMBZIDS2,1915.9232336,2097.9022830999997,1718.9008222,1414.7138398000002,1408.4986686,1186.6880971,1455.2833061000001,1433.8694025,1070.4962311,1366.1739768,1214.3388802,1042.9010882,2013.6831527299998,2195.3735461,1812.3690016599999,1506.8943439999998,1269.0686333,1213.9252402,1349.6849332000002,1239.3930753,1205.6206116,2035.8504653,1556.5294569999999,1361.2824108
HISTAMINOTRANS-RXN,1542.353257,1656.366097,1424.043853,1889.969271,1992.80165,1759.394092,1676.900054,1787.378294,1436.240198,1693.567416,1620.132992,1336.82937,1144.399321,1091.821271,1060.950169,1873.597551,1959.565949,2270.218956,1924.986176,1804.626972,1930.931843,1829.857711,1844.531376,1763.132979
ZCAROTDH2,514.7854377,535.1709172,457.1106642,644.0565139,724.6551456,664.5453344,571.9822712,553.013911,570.0044867,652.5672611,573.1841831,545.4002559,314.3211366,337.6853202,331.2405478,514.2372887,507.1108717,526.5217908,532.9766287,526.9628514,501.46062,836.0095537,630.9660368,641.4362721
