,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
ADPT,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.146815689896947e-06,1.0944082531371827e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.4679366091779723e-06,1.381139855861812e-06,1.1681964631932684e-06,1.6258030540897495e-06,1.5767586258896953e-06,1.642190013790198e-06,2.87317214731332e-06,5.600053442077674e-06,2.3862898204966013e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0589240649927971e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,2.358969233317712e-06,1.7631056301543097e-06,1.4525654176765586e-06
O2tcx,0.0187109990600046,0.0187106920400042,0.0187106920399964,0.0206563636868003,0.0197131162864483,0.0164132600385187,0.0187109990599991,0.018532025643312,0.0187114084199953,0.0264399476533338,0.0248769414345935,0.0210409199105264,0.029283262204352,0.0283999228122018,0.0295783808852317,0.0517500154687389,0.10086512143,0.0429807601396949,0.0146409874989469,0.0164517674208503,0.0156337764830147,0.019073077443685,0.0187108455500034,0.0187115619300039,0.0187115619300045,0.0187108455500041,0.018711203740004,0.0424895942443027,0.031756100559056,0.0261628189958629
DNTPPA,7.627899999999507e-07,7.627900000008181e-07,7.62789999998975e-07,8.420490918940753e-07,8.03568946461097e-07,7.627899999999507e-07,7.627900000008181e-07,7.627899999999507e-07,7.627900000008181e-07,1.0778320349170087e-06,1.01410154365054e-06,8.577479185641031e-07,1.1937454268869108e-06,1.157734569524893e-06,1.2057775473527172e-06,2.109625826376537e-06,4.111837636177652e-06,1.7521326173395846e-06,7.627899999990834e-07,7.627899999999507e-07,7.627899999990834e-07,7.775146914776627e-07,7.627899999998423e-07,7.627899999990834e-07,7.627900000008181e-07,7.627899999990834e-07,7.627899999990834e-07,1.7320724840294696e-06,1.2945598040420888e-06,1.066545741957789e-06
DTMPK,5.28301e-05,5.28301e-05,5.28301e-05,5.831950829153282e-05,5.56544105172569e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,7.464960760877992e-05,7.023569522574058e-05,5.940679389158094e-05,8.267765738531327e-05,8.018358012226135e-05,8.351099044879295e-05,0.0001461106508608,0.0002847819104895,0.0001213510158593,5.28301e-05,5.28301e-05,5.28301e-05,5.3849917935811007e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,0.0001199616703659,8.965996395277097e-05,7.386792983953175e-05
BIOMASS__1,0.01,0.01,0.01,0.011039068313619,0.0105346025309921,0.01,0.01,0.01,0.01,0.0141301280158053,0.0132946360551542,0.0112448762905201,0.015649725702831,0.0151776317141669,0.0158074640117646,0.0276567053366958,0.0539052378264621,0.0229700522731102,0.01,0.01,0.01,0.0101930372904482,0.01,0.01,0.01,0.01,0.01,0.022707068577567,0.0169713788073032,0.0139821673325493
5DOAN,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.146815689896947e-06,1.0944082531371827e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.4679366091779723e-06,1.381139855861812e-06,1.1681964631932684e-06,1.6258030540897495e-06,1.5767586258896953e-06,1.642190013790198e-06,2.87317214731332e-06,5.600053442077674e-06,2.3862898204966013e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0589240649927971e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,1.0388699999998288e-06,2.358969233317712e-06,1.7631056301543097e-06,1.4525654176765586e-06
3HAD160,0.00386477958,0.00386477958,0.00386477958,0.00426635658007,0.0040713916745194,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.005460983021827,0.0051380837949491,0.0043458968267228,0.0060482740328902,0.0058658201121672,0.0061092364124253,0.0106887070035339,0.0208331862406754,0.0088774188976648,0.00386477958,0.00386477958,0.00386477958,0.0039393842378302,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.008775781496024,0.006559063825891,0.0054037994790979
RNDR3,6.568978e-05,6.568978e-05,6.568978e-05,7.251539689266094e-05,6.920157226483181e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,9.282050007300912e-05,8.733217176431521e-05,7.386734496514857e-05,0.0001028027038479,9.970152882246524e-05,0.000103838883329,0.0001816762889092,0.0003541023213667,0.0001508897680409,6.568978e-05,6.568978e-05,6.568978e-05,6.695783771413416e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,0.0001491622339305,0.0001114846140148,9.184854959983565e-05
Htex,0.1166505819454057,0.1166481556345686,0.1166481556345251,0.1287801570188967,0.1229007848044502,0.0977897310865482,0.1166505819453737,0.1151815148795989,0.1166536990511861,0.1648368980437238,0.1550929815215968,0.1311769600919848,2.3715601772679378,2.3000215666365023,0.1844028892703165,0.3226289412615614,8.168745325511736,0.2679584128076304,1.224401821731604,0.0981060555740268,0.0913918071042921,0.1189091259912703,0.1166493282803962,0.1166548716970667,0.1166548716970721,0.1166493282804016,0.1166522492345684,3.441109922899116,2.571825559333732,2.1188434793070456
G5SD,0.00469220296,0.00469220296,0.00469220296,0.0051797549016805,0.0049430493178344,0.00469220296,0.00469220296,0.00469220296,0.00469220296,0.006630142850094,0.0062381130650117,0.0052763241815212,0.0073431689266011,0.0071216528455004,0.0074171829426095,0.0129770874644691,0.0252934316488829,0.0107780147267242,0.00469220296,0.00469220296,0.00469220296,0.0047827799745631,0.00469220296,0.00469220296,0.00469220296,0.00469220296,0.00469220296,0.0106546174392583,0.0079633153874909,0.0065607166945003
HISTDa,0.0008583048,0.0008583048,0.0008583048,0.0009474885321107,0.0009041899918442,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.001212795670058,0.0011410849940391,0.0009651531295559,0.0013432234689423,0.0013027034152901,0.0013567622237124,0.0023737882942671,0.0046267124371594,0.0019715306122261,0.0008583048,0.0008583048,0.0008583048,0.000874873283297,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0019489585954055,0.0014566615892926,0.001200096133593
TRPS3,0.0007146576,0.0007146576,0.0007146576,0.0007889154067247,0.0007528633761752,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0010098203375468,0.000950111269605,0.000803623630208,0.0011184195411443,0.001084680985453,0.0011296924292734,0.001976507465983,0.0038523787892488,0.0016415722429375,0.0007146576,0.0007146576,0.0007146576,0.0007284531566702,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0016227779132679,0.0012128724847118,0.0009992462148678
DMBZIDS2,0.0,0.0,0.0,5.6486912560788916e-08,5.3905561151086884e-08,0.0,0.0,5.1170000000000014e-08,0.0,1.6267342031790322e-07,6.802865269422442e-08,5.754003197859169e-08,1.4042521659237056e-07,1.45408998189261e-07,1.297881257471489e-07,1.4151936120787258e-07,2.76e-07,1.8572953941177808e-07,0.0,0.0,0.0,5.2157771815223696e-08,5.1170000000000014e-08,5.1170000000000014e-08,5.1170000000000014e-08,5.1170000000000014e-08,0.0,1.161920699114108e-07,8.684254535697058e-08,7.154675024065523e-08
ORNDC,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,4.518953004863113e-07,4.312444892086952e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,5.784309204550085e-07,5.442292215537954e-07,4.603202558287335e-07,6.406371713710903e-07,6.2131153185114e-07,6.470943467855992e-07,1.1321548896629804e-06,2.2066648156640547e-06,9.4030205985204e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,4.172621745217895e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,4.093600000000001e-07,9.295365592912864e-07,6.947403628557646e-07,5.723740019252419e-07
U23GAAT2,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.0001053882270694,0.0001005721725857,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.0001348980817532,0.0001269217730682,0.0001073530430472,0.0001494054388548,0.0001448984327324,0.0001509113413682,0.0002640341611457,0.0005146247203923,0.0002192914307604,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.73113036331149e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.0002167807673028,0.0001620230505521,0.0001334855246749
HOXGfx,4.59404e-05,4.59404e-05,4.59404e-05,5.071392139549866e-05,4.839638541147922e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,6.49143733097305e-05,6.107608982282094e-05,5.165941147370125e-05,7.189546586783379e-05,6.972664720015171e-05,7.262012196860742e-05,0.0001270560105849,0.0002476428187842,0.0001055253389447,4.59404e-05,4.59404e-05,4.59404e-05,4.682722103381088e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,0.000104317181328,7.796719309590326e-05,6.423463601242519e-05
PGK,3.622630703359015,3.622569657548949,3.622569657547432,3.9992762135868367,3.81665791760709,3.164230796342572,3.622630703357942,3.5869256346537366,3.622711398447212,5.119034698473048,4.816422012457305,4.073728502579892,5.6695278024851055,5.4985047504069655,5.7266654891082,10.0193106537364,19.528476986196143,8.321497899806639,2.8106636016080206,3.171913991347759,3.0087250039295603,3.692735995615179,3.6226002060387743,3.6227419469388895,3.622741946939004,3.622600206038926,3.622671485848908,8.226407028075176,6.1482925902637,5.065378410473616
IMPD,0.00104792723,0.00104787606,0.00104787606,0.0011568705148797,0.0011040914133485,0.0010479272299999,0.00104792723,0.0010479272299999,0.00104792723,0.0014808972645351,0.0013932491421662,0.0011784387463137,0.0016401177958193,0.0015906507650168,0.001656636985643,0.0028983629808021,0.0056491526557975,0.0024072800546908,0.00104787606,0.00104792723,0.00104787606,0.0010682082910784,0.00104792723,0.0010479783999999,0.0010479783999999,0.00104792723,0.00104792723,0.0023797319004134,0.0017785638408271,0.0014653009349697
LPOR,9.9879e-05,9.9879e-05,9.9879e-05,0.0001102571104095,0.0001052185566192,9.987900000266452e-05,9.9879e-05,9.987900000355272e-05,9.9879e-05,0.0001411303056143,0.0001327854954552,0.000112312699902,0.0001563078953473,0.0001515926677979,0.0001578833698031,0.0002762324072394,0.0005384001248869,0.0002294225851057,9.9879e-05,9.9879e-05,9.9879e-05,0.0001018070371532,9.9879e-05,9.9879e-05,9.9879e-05,9.9879e-05,9.9879e-05,0.0002267959302529,0.0001695084343894,0.0001396524891007
CHRPL,1.7850000224526344e-07,1.785000024804715e-07,1.784999986435077e-07,1.970473694288699e-07,1.8804265531540035e-07,1.7849999878193924e-07,1.78499999765934e-07,1.7850000344998522e-07,1.7849999791683927e-07,2.522227850823192e-07,2.3730925380693778e-07,2.0072104199762239e-07,2.793476037961093e-07,2.709207260979257e-07,2.821632325983314e-07,4.936721902603991e-07,9.622084952023497e-07,4.1001543307533195e-07,1.7850000000015786e-07,1.7849999970025546e-07,1.7850000000015786e-07,1.8194571576508757e-07,1.7850000217742854e-07,1.78500002430144e-07,1.7850000224286846e-07,1.7850000239802753e-07,1.7850000218287364e-07,4.053211741095726e-07,3.029391117103624e-07,2.495816877618982e-07
GCALDDy,7.627899999999507e-07,7.627900000008181e-07,7.62789999998975e-07,8.420490918940753e-07,8.03568946461097e-07,7.627899999999507e-07,7.627900000008181e-07,7.627899999999507e-07,7.627900000008181e-07,1.0778320349170087e-06,1.01410154365054e-06,8.577479185641031e-07,1.1937454268869108e-06,1.157734569524893e-06,1.2057775473527172e-06,2.109625826376537e-06,4.111837636177652e-06,1.7521326173395846e-06,7.627899999990834e-07,7.627899999999507e-07,7.627899999990834e-07,7.775146914776627e-07,7.627899999998423e-07,7.627899999990834e-07,7.627900000008181e-07,7.627899999990834e-07,7.627899999990834e-07,1.7320724840294696e-06,1.2945598040420888e-06,1.066545741957789e-06
MSBENZMT,1.7850000224526344e-07,1.7850000248048357e-07,1.784999986435022e-07,1.970473694288699e-07,1.8804265531540035e-07,1.784999987819447e-07,1.784999997659666e-07,1.7850000344998522e-07,1.7849999791683927e-07,2.522227850823192e-07,2.3730925380693778e-07,2.0072104199762239e-07,2.7934760379610425e-07,2.709207260979257e-07,2.821632325983314e-07,4.936721902603991e-07,9.622084952023497e-07,4.1001543307533195e-07,1.7850000000015426e-07,1.7849999970025546e-07,1.7850000000015426e-07,1.8194571576508757e-07,1.7850000217742854e-07,1.7850000243017659e-07,1.7850000224286846e-07,1.7850000239802753e-07,1.7850000218287364e-07,4.053211741095726e-07,3.029391117103624e-07,2.495816877618982e-07
DESAT18a,0.00097572894,0.00097572894,0.00097572894,0.0010771138424235,0.0010278916560886,0.00097572894,0.00097572894,0.00097572894,0.00097572894,0.0013787174830926,0.0012971961145781,0.001097195122338,0.0015269890271314,0.0014809254504174,0.0015423800104287,0.0026985447782066,0.0052596900564861,0.0022412544756186,0.00097572894,0.00097572894,0.00097572894,0.0009945641470789,0.00097572894,0.00097572894,0.00097572894,0.00097572894,0.00097572894,0.0022155943953696,0.0016559465453988,0.0013642805310291
FUM,0.00592232065,0.0059221671399995,0.0059221671399994,0.0065377467099632,0.0062392467849708,0.0059223206499924,0.0059223206499996,0.0059222183100257,0.0059223206499996,0.0083684775669424,0.00787357779302,0.0066596338462365,0.0092684097949131,0.0089888255808854,0.0093618168422239,0.016379329232012,0.0319246863122811,0.0136037872203916,0.0059221671400121,0.0059223206500013,0.0059221671400013,0.0060366956809158,0.0059222183099993,0.0059223718199994,0.00592237182,0.0059222183099995,0.0059223206499997,0.0134482107881013,0.0100510815595062,0.0082807593792809
PHYFXOR,4.59404e-05,4.59404e-05,4.59404e-05,5.071392139549866e-05,4.839638541147922e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,6.49143733097305e-05,6.107608982282094e-05,5.165941147370125e-05,7.189546586783379e-05,6.972664720015171e-05,7.262012196860742e-05,0.0001270560105849,0.0002476428187842,0.0001055253389447,4.59404e-05,4.59404e-05,4.59404e-05,4.682722103381088e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,4.59404e-05,0.000104317181328,7.796719309590326e-05,6.423463601242519e-05
TMPPP_1,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,2.798072645453032e-07,2.670205703530583e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,3.581563548166186e-07,3.369791400899954e-07,2.850238793358146e-07,3.96673597389402e-07,3.847074310590199e-07,4.006717903061995e-07,7.010145101692292e-07,1.3663360631873362e-06,5.822219149665247e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,2.5836291620099174e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,2.534699999998287e-07,5.75556067235593e-07,4.3017353862871467e-07,3.5440599537812936e-07
RNDR1,5.28301e-05,5.28301e-05,5.28301e-05,5.831950829153282e-05,5.565441051725689e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,7.464960760877991e-05,7.023569522574058e-05,5.940679389158094e-05,8.267765738531327e-05,8.018358012226135e-05,8.351099044879295e-05,0.0001461106508608,0.0002847819104895,0.0001213510158593,5.28301e-05,5.28301e-05,5.28301e-05,5.3849917935811007e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,0.0001199616703659,8.965996395277096e-05,7.386792983953175e-05
GLYCL,0.0095585053000045,0.0095583006200045,0.0095583006199967,0.0105528068142265,0.0100710983423045,0.0084098404692575,0.0095585052999992,0.0094689930066676,0.0095589146599955,0.0135071941306438,0.0127089660523139,0.0107489963623986,0.0149597200950355,0.0145084594476562,0.015110479524197,0.0264370916477495,0.0515281101461992,0.0219572484005089,0.0075234483494764,0.0084288894804251,0.0080198428415077,0.0097438542662857,0.0095584029600037,0.0095590170000042,0.0095590170000045,0.0095584029600043,0.0095587099800041,0.0217066873843277,0.0162229698532595,0.0133655775228695
ACONT,0.01168011221,0.01168011221,0.01168011221,0.0128949310840888,0.0123056677921995,0.0116805215700213,0.01168011221,0.0116801122100284,0.0116805215699999,0.0165047265075475,0.0155294291670632,0.0131346020063402,0.0182796958636501,0.0177282654618843,0.0184639424356416,0.0323044743240409,0.0629641306519814,0.0268302191040091,0.01168011221,0.01168011221,0.01168011221,0.0119063117856722,0.01168011221,0.0116805215699999,0.01168052157,0.01168011221,0.01168011221,0.0265236817171941,0.0198234556231346,0.0163319007123192
NDPK7,6.568978e-05,6.568978e-05,6.568978e-05,7.251539689266094e-05,6.920157226483181e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,9.282050007300912e-05,8.733217176431521e-05,7.386734496514857e-05,0.0001028027038479,9.970152882246524e-05,0.000103838883329,0.0001816762889092,0.0003541023213667,0.0001508897680409,6.568978e-05,6.568978e-05,6.568978e-05,6.695783771413416e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,0.0001491622339305,0.0001114846140148,9.184854959983565e-05
GTPCI,7.627899999999507e-07,7.627900000008181e-07,7.62789999998975e-07,8.420490918940753e-07,8.03568946461097e-07,7.627899999999507e-07,7.627900000008181e-07,7.627899999999507e-07,7.627900000008181e-07,1.0778320349170087e-06,1.01410154365054e-06,8.577479185641031e-07,1.1937454268869108e-06,1.157734569524893e-06,1.2057775473527172e-06,2.109625826376537e-06,4.111837636177652e-06,1.7521326173395846e-06,7.627899999990834e-07,7.627899999999507e-07,7.627899999990834e-07,7.775146914776627e-07,7.627899999998423e-07,7.627899999990834e-07,7.627900000008181e-07,7.627899999990834e-07,7.627899999990834e-07,1.7320724840294696e-06,1.2945598040420888e-06,1.066545741957789e-06
AIRC2,0.00189350274,0.0018934003999997,0.0018934003999997,0.002090307096801,0.0019949594269696,0.0018935027399962,0.0018935027399998,0.0018934515700128,0.0018935027399998,0.0026757062848718,0.0025174110084263,0.0021292779467382,0.0029634202750851,0.0028740341327451,0.0029932774299973,0.0052369462528032,0.0102072475524754,0.0043495714212422,0.001893400400006,0.0018935027400006,0.0018934004000007,0.0019301065616103,0.0018934515699996,0.0018935539099997,0.00189355391,0.0018934515699997,0.0018935027399998,0.0042998661704664,0.0032136220698732,0.002647598762282
IGPS,0.0007146576,0.0007146576,0.0007146576,0.0007889154067247,0.0007528633761752,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0010098203375468,0.000950111269605,0.000803623630208,0.0011184195411443,0.001084680985453,0.0011296924292734,0.001976507465983,0.0038523787892488,0.0016415722429375,0.0007146576,0.0007146576,0.0007146576,0.0007284531566702,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0016227779132679,0.0012128724847118,0.0009992462148678
DHORD3um,0.00188887364,0.00188887364,0.00188887364,0.0020851405147754,0.0019898533028668,0.00188887364,0.00188887364,0.00188887364,0.00188887364,0.002669002633888,0.0025111887597974,0.0021240150410224,0.0029560354353307,0.0028668628462518,0.002985830208707,0.0052240021679732,0.0101820182788335,0.0043387526248099,0.00188887364,0.00188887364,0.00188887364,0.0019253359449464,0.00188887364,0.00188887364,0.00188887364,0.00188887364,0.00188887364,0.0042890783277838,0.0032056790063569,0.0026410547304521
MTHFC,0.00464556375,0.0046453590699995,0.0046453590699994,0.0051283825329773,0.0048943758663538,0.0046455637499924,0.0046455637499997,0.0046454614100257,0.0046455637499996,0.0065645663961564,0.006176243990032,0.0052239940469117,0.00727046069271,0.0070511563882114,0.0073437177554974,0.0128483818143839,0.0250425738781734,0.0106712556766255,0.0046453590700121,0.0046455637500013,0.0046453590700014,0.0047353447694339,0.0046454614099993,0.0046456660899994,0.00464566609,0.0046454614099995,0.0046455637499997,0.0105492664924055,0.0078843359025777,0.0064956480641524
HBZNPT,1.7850000224526344e-07,1.785000024804715e-07,1.784999986435077e-07,1.970473694288699e-07,1.8804265531540035e-07,1.7849999878193924e-07,1.78499999765934e-07,1.7850000344998522e-07,1.7849999791683927e-07,2.522227850823192e-07,2.3730925380693778e-07,2.0072104199762239e-07,2.793476037961093e-07,2.709207260979257e-07,2.821632325983314e-07,4.936721902603991e-07,9.622084952023497e-07,4.1001543307533195e-07,1.7850000000015786e-07,1.7849999970025546e-07,1.7850000000015786e-07,1.8194571576508757e-07,1.7850000217742854e-07,1.78500002430144e-07,1.7850000224286846e-07,1.7850000239802753e-07,1.7850000218287364e-07,4.053211741095726e-07,3.029391117103624e-07,2.495816877618982e-07
HISTDb,0.0008583048,0.0008583048,0.0008583048,0.0009474885321107,0.0009041899918442,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.001212795670058,0.0011410849940391,0.0009651531295559,0.0013432234689423,0.0013027034152901,0.0013567622237124,0.0023737882942671,0.0046267124371594,0.0019715306122261,0.0008583048,0.0008583048,0.0008583048,0.000874873283297,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0019489585954055,0.0014566615892926,0.001200096133593
