,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
O2tcx,0.018692368419999727,0.018692368420000393,0.018692368419999897,0.02031633055434455,0.019388313097817456,0.018692368419999897,0.018692368419997406,0.018692368419999897,0.018692368419997406,0.024461206402529603,0.024467446956236556,0.02069487685045989,0.029306762734658258,0.028422686759336752,0.029602153202992573,0.047877088671894524,0.10094668732664613,0.03976411822781342,0.018692368419999564,0.018692368419999564,0.018692368419999564,0.01875920881098916,0.01869236842000006,0.01869236842000023,0.018692368419999727,0.018692368419997406,0.018692368419999727,0.03930971329592066,0.03123383355456379,0.025732540187532252
DTMPK,5.28301e-05,5.28301e-05,5.28301e-05,5.741989194214363e-05,5.47970431982897e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,6.913452331613608e-05,6.915216094605201e-05,5.8489774486133776e-05,8.282948266158393e-05,8.033082539491946e-05,8.366434251616614e-05,0.00013531465491225793,0.0002853048616583754,0.00011238502768526913,5.28301e-05,5.28301e-05,5.28301e-05,5.3019010493338954e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,5.28301e-05,0.00011110074645077213,8.827594839750497e-05,7.272768441193005e-05
BIOMASS__1,0.01,0.01,0.01,0.010868783504506641,0.010372314873204802,0.01,0.01,0.01,0.01,0.013086199593817934,0.013089538150798883,0.011071297325981546,0.015678464106935998,0.015205503187561533,0.01583649141609918,0.02561317410193392,0.05400422517814189,0.021272915948534858,0.01,0.01,0.01,0.010035758117690285,0.01,0.01,0.01,0.01,0.01,0.021029819449664516,0.016709403994598717,0.013766334800034459
3HAD160,0.00386477958,0.00386477958,0.00386477958,0.00420054525476581,0.0040086710719292205,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.005057527696999184,0.005058817975683848,0.004278812382956208,0.006059380792624918,0.005876591822291272,0.006120454864378539,0.009898927224813904,0.020871442670220463,0.008221513116495384,0.00386477958,0.00386477958,0.00386477958,0.0038785993043068652,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.00386477958,0.008127561678015024,0.006457816335229556,0.005320384962661655
RNDR3,6.568978e-05,6.568978e-05,6.568978e-05,7.139679972786704e-05,6.813550821115514e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,8.596295723539894e-05,8.598488814275855e-05,7.272710856583161e-05,0.0001029914857922522,9.988461591802158e-05,0.00010402956370954436,0.00016825237718577366,0.0003547525671022602,0.00013974131686177461,6.568978e-05,6.568978e-05,6.568978e-05,6.592467428842889e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,6.568978e-05,0.0001381444213088183,0.0001097637072336311,9.043075044206076e-05
Htex,1.5136468735065378,1.5136468735064383,1.513646873506353,1.6451500170409759,1.5700021978845413,1.5136468735064028,1.5136468735061825,1.5136468735063175,1.5136468735061754,1.980788510126132,1.9812938497596804,1.6758034583131902,2.373165817684338,2.3015762359939913,2.3970855719291677,3.8769300899965913,8.1743326597026,3.2199682715902327,1.5136468735063673,1.5136468735063744,1.513646873506417,1.519059389811126,1.5136468735065094,1.5136468735065236,1.513646873506488,1.5136468735061825,1.5136468735064597,3.1831720460388624,2.5292137114575297,2.0837369629713294
G5SD,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.005099408888622983,0.00486647605392871,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.006139774750259758,0.006141341132287403,0.005194424193773733,0.007356011755475202,0.007134108254018079,0.007430154907250907,0.01201717263271393,0.025337667806376498,0.009980813090067377,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.0047085705707727325,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.004691793600000001,0.009866757230309149,0.007839707472167268,0.006458880151025895
HISTDa,0.0008583048,0.0008583048,0.0008583048,0.0009328729052078871,0.0008902607642783072,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0011231947925131982,0.0011234813424613804,0.0009502547637117125,0.0013456900999610879,0.0013050956372299362,0.0013592536597596724,0.002198391027492557,0.004635208569068004,0.0018258645868624022,0.0008583048,0.0008583048,0.0008583048,0.0008613739364052536,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.0008583048,0.001804999497678041,0.0014341761653703252,0.0011815711237276615
TRPS3,0.0007146576,0.0007146576,0.0007146576,0.0007767458734250306,0.0007412653653728849,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.00093521519948389,0.0009354537919958368,0.0007912186775872389,0.0011204733530349024,0.0010866728414815074,0.0011317668947850043,0.001830464953207025,0.003859452995567046,0.0015202851056781647,0.0007146576,0.0007146576,0.0007146576,0.0007172130810569057,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0007146576,0.0015029120296330563,0.0011941502556210334,0.0009838215788989108
U23GAAT2,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.00010376254511702322,9.902283816331642e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.0001249318633682308,0.00012496373604001766,0.00010569591231758413,0.00014967979982184965,0.00014516451724999304,0.0001511884613744482,0.0002445248939074095,0.000515569736873804,0.00020308914056161312,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.580978441962617e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,9.5468407365e-05,0.0002007683370032972,0.00015952201873827083,0.00013142500586126653
