,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
DTMPKI-RXN,1.4443134322834514,1.2687002342504763,1.5213934114963303,1.3024595489832511,1.0,0.927983038877205,1.0772887894146421,1.1342721646112874,0.9443997798206262,1.3756808775403166,1.1588925648644768,1.4817168076887977,1.905803812050256,1.8465214343852374,1.6850667792419673,1.5061945111811792,1.2137107224393058,1.1190991841936473,1.3970123569038233,0.946086814910365,1.1209920520956156,1.1812342615594333,1.585230453838747,1.208751708819049
ACOATA,0.6361267226203514,0.7119360393068029,0.5775138044302579,0.9177855605661579,1.0,0.942570881592922,0.8909569252331878,0.8510887222216518,0.8557915387664996,0.6804742623289899,0.6220273742703092,0.5784867987177932,0.4580332906001535,0.4637126458868303,0.46131281293239396,0.8956160265273104,0.9258547713531633,0.9069823452965674,0.9155608363884062,0.8253889255411718,0.8479595386768582,0.9168891914219373,0.8381755150854434,0.7910051961885465
3HAD160,2.072498924354871,1.4693625753439408,1.4780488698372483,1.5788147476131105,1.0,0.8505975279972274,1.422646733089361,1.1320100830693527,0.8998938379564574,1.534221162221098,1.03658960275844,1.4768923321000726,2.704709878633732,2.4678308711392463,2.4052292798506776,2.269980279417842,1.9294888402130692,0.7116323016985612,1.4536743955963738,1.3650069623609213,1.331837908065842,2.3085613363459663,1.6611960723221737,2.019789491931974
RNDR3,0.41987751331163825,0.40821828423385054,0.43494137225143553,0.826090504467439,1.0,1.0116703963061433,0.6887131728026018,0.7729939156278627,0.7578659918579298,0.8462790853967807,0.6773449911665593,0.6659928268637795,0.32211669920518865,0.26828198716007673,0.2644488253132092,0.8424335147592948,0.7418191997513045,1.0283665821507575,0.9728796403180338,1.1406469821570142,1.2110541323435244,1.6960408833695875,0.7960646710876591,0.7227173090800123
GLUTSEMIALDEHYDROG-RXN,0.9839330860563053,0.9789045477536575,0.9792494843274544,1.0200203052467678,1.0,0.9407387289010841,1.0423519283993523,1.0987491291509563,1.0207013848899014,0.9115234277165233,0.8578800492861737,0.9780733179285157,1.1096630626857522,1.0400745845184167,1.0793371551031716,1.1143854544682719,1.1769049372702418,1.0463200117593627,1.1608249886215654,1.148589805266006,1.1395292220612927,0.9891194572636117,1.0125816610796958,0.93471900217135
HISTDa,1.2031939519798178,1.0734540086916948,1.1135290368663107,1.1317209712284089,1.0,0.9148543410151544,1.0731655757522924,0.9224580596517689,0.8258261887689937,0.990746436022818,0.7646878092867097,0.843996498684037,1.048957591968075,1.111233248781819,1.1177250606319444,1.4455428368737544,1.3323514191571513,1.3378267123053906,1.2408647083205409,1.0401379039657839,1.051714953665915,1.0962492751949167,1.1306754908182617,1.1007481900057459
TRPS3,0.868557640357533,0.8421110986891593,0.7437391040035316,0.913066816550839,1.0,0.8579811870200897,0.7536101061172408,0.7563430196878761,0.7835810290144621,0.7607576982970458,0.679445285656644,0.6013506752730449,0.5136627129632148,0.5252234796906607,0.491067644548016,0.8054768732496267,0.7934807234988801,0.572096556187283,0.8995731985278314,0.834170921323409,0.8071744894652436,0.8786315531080147,0.8903759251055106,0.9319707685707771
DMBZIDS2,1.3602591726297923,1.4894598978820788,1.2203780241471789,1.0044126212814797,1.0,0.8425198571749648,1.033215961465198,1.018012607654942,0.7600264416039789,0.9699504921491553,0.8621512446348364,0.7404345573408375,1.429666351571019,1.5586621379501389,1.286738171688464,1.0698585505216003,0.9010080460788873,0.8618575702358318,0.9582436698655465,0.8799391173950593,0.8559614847192907,1.4454046075340394,1.1050982806729506,0.9664775985575256
HISTAMINOTRANS-RXN,0.7739622540958855,0.831174591309677,0.7145938749097281,0.9483980861818334,1.0,0.8828746664275393,0.8414786559414982,0.8969173093569046,0.7207140750811802,0.8498424396627733,0.8129925986361964,0.6708291163849648,0.5742665462967677,0.547882560715463,0.5323912537908627,0.9401826574160053,0.9833221229016946,1.1392096930469724,0.9659697822911777,0.9055728009859887,0.9689533541885615,0.9182337394190736,0.9255970738482677,0.8847508626862086
ZCAROTDH2,0.7103867830452897,0.7385180667652461,0.6307975137905375,0.8887765688419064,1.0,0.9170504597048983,0.7893165109955993,0.7631408047784102,0.7865872341637038,0.9005211169233985,0.7909751094438376,0.7526342139589991,0.43375271466505405,0.46599451097584255,0.4571009394071706,0.7096303556558918,0.6997961372096825,0.7265825599900356,0.7354900216139444,0.7271912089490309,0.6919989777824604,1.1536653796997478,0.8707121458132651,0.8851607223031633
