,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS00005,56.70912684,55.17665054,51.29704397,94.51736552,83.87173522,78.61769307,93.32771438,92.08060248,97.90655155,97.20860814,103.6487957,103.9327434,92.49047694,108.5586169,107.3810246,93.39020385,87.60293925,82.47642861,88.62461065,87.1168777,88.48308439,126.2428014,138.2522756,92.45136821,116.6121282,116.7660764,114.3212324,90.12314108,91.90216447,89.29373269
SYNPCC7942_RS00010,28.21442554,27.43548136,26.64383777,25.40580062,24.71810419,21.40531919,22.72590448,21.12042945,24.16417017,14.85858165,19.45859466,23.07285928,21.66734949,24.17941695,23.92891912,18.03567429,16.68001992,16.8612667,46.16567171,44.91067637,43.07548605,38.2727045,41.22880362,32.24866138,30.73144148,26.06470879,25.95447873,17.49225523,19.57869162,17.79556701
SYNPCC7942_RS00015,191.8954638,167.4405005,177.7787106,288.9058093,281.0505053,226.3834449,250.7929814,266.8549499,231.8510465,223.9251038,235.6543374,221.4994491,253.4325306,260.5008789,275.1825699,309.8182953,342.0060777,351.0803284,129.9378322,130.6343397,128.8835004,244.9779508,260.12824,223.5542797,266.3138035,255.300481,273.9542972,310.9311745,277.8462411,295.4695919
SYNPCC7942_RS00020,430.7838284,466.0974953,360.4574374,316.1610744,364.5448649,295.4328617,201.3010117,219.473669,220.4980528,173.8035502,160.068942,139.8005519,205.7859213,210.4504809,196.2171368,345.3955158,324.5380253,360.491268,151.5042774,153.417493,147.2660327,161.0064946,178.2466839,202.7058715,174.0434112,205.8443669,203.1220075,333.2401377,316.3617001,263.1427335
SYNPCC7942_RS00025,25.78536904,25.98346424,26.95008877,41.56427917,61.9839483,76.84213664,61.20843606,76.99458145,90.40732633,85.80307715,112.7425108,95.33285949,63.92407089,68.75710747,67.79860418,26.68291539,28.36916773,28.88635614,62.94706186,68.75922896,64.06449676,57.44985921,64.76460768,69.57277793,55.6817207,68.93303937,81.33560726,25.85811643,27.92370772,31.58976392
SYNPCC7942_RS00030,2.522481754,2.598346424,3.13907284,3.698928826,3.868100274,4.142965005,4.444176875,4.358183855,4.687015766,3.348412767,3.031238365,3.565805526,3.557326036,2.686601884,3.19052255,1.729448219,1.444726135,1.829904914,2.83059593,2.540567459,3.498168453,5.793948869,3.209427826,3.435692737,4.716211316,3.055203961,4.861039495,1.774576618,2.460709875,2.632480327
SYNPCC7942_RS00035,6.913468511,6.877975829,5.895331919,3.406908129,5.000227184,5.622595364,4.949196975,5.363918591,6.561822072,4.394791757,5.182439785,4.824325123,2.587146208,3.383128298,4.586376165,2.470640313,3.283468488,2.483442383,6.537328695,5.900672807,7.064928444,5.385924301,5.760511483,4.060364144,5.020483014,4.582805941,6.076299368,3.929419653,4.065520664,3.474874031
SYNPCC7942_RS00040,15.04146527,15.43723464,13.39848164,15.18507623,14.52896201,15.48679776,18.2817276,16.31525238,21.1436489,13.91684056,12.71164476,17.72415099,11.2109669,12.13946036,10.56860595,8.894305128,8.668356808,10.45659951,14.69214078,14.50582065,12.75802612,15.01530411,13.49605548,17.25654761,14.45290565,13.74841782,15.79837836,10.90097065,13.90836016,13.58359849
SYNPCC7942_RS00045,102.7677752,90.10148336,81.23308008,251.3324797,238.784434,195.7057755,229.1781211,237.6886426,187.4806306,204.9856441,185.4922315,154.6930338,173.769987,202.8881941,188.1411266,263.9879175,254.2717997,296.444596,51.28770244,56.5481144,48.97435834,256.076219,255.6844168,225.5063779,217.1739243,209.8543221,195.8304482,287.2279011,203.9179575,194.3823473
SYNPCC7942_RS00050,37.27667481,34.77198891,31.77354216,49.83819892,50.6626792,50.50471625,39.79558384,36.65344371,44.26626001,40.390229,50.65101525,41.95065324,31.58474329,35.52284713,38.58538208,29.27708771,33.49137858,35.81385331,33.29319974,31.96197771,33.06112146,31.6627065,42.38090591,31.07740249,40.69633958,51.17466635,41.66605281,41.19552862,45.36265161,46.33165375
SYNPCC7942_RS00055,23.35631254,28.27612285,19.14068805,36.89194803,53.58734039,62.04583305,35.14939892,33.6362395,40.82911512,36.10007514,35.49482343,33.87515249,39.02278864,29.55262072,28.51529529,21.86516677,22.45892446,22.22027395,18.26408326,18.52155631,19.41140534,24.15505444,24.27644125,42.08723603,31.49212072,39.14480075,38.3674903,27.50593757,27.92370772,28.11488989
SYNPCC7942_RS00060,97.90966215,81.38938064,82.91746063,605.6509251,473.417736,411.5345238,408.2582484,425.314045,336.527732,370.3135244,360.7173654,338.7515249,291.4851394,318.1135638,334.3069409,374.0549435,355.5339679,467.2792905,104.9342348,105.1467113,95.20505514,621.3398125,648.715886,579.6950655,479.9125354,463.9136264,400.3413241,429.1940305,372.8510398,358.2279229
SYNPCC7942_RS00065,28.02757504,25.90704229,32.46260693,28.22866735,21.79344301,23.97001181,43.33072453,35.64770897,38.64184109,38.29747102,41.3617364,58.10165474,87.96297108,84.77721499,89.53403905,303.7652265,258.7373168,334.7418917,59.71209509,56.71202198,53.36421679,33.94764408,31.35364107,23.97176524,51.19371316,52.70226833,54.94710714,113.4461481,96.60960945,124.8848667
SYNPCC7942_RS00070,25.97221954,30.79804732,31.77354216,25.21112015,34.81290247,34.91927647,34.94739088,35.98295388,43.22470095,40.5995048,44.39297476,43.41892611,91.52029711,63.08539238,52.24480675,108.8317058,98.50405463,85.48270097,52.56821012,52.04065601,49.59168218,28.64332469,28.88485044,34.747347,34.99124525,40.76787785,38.28068602,61.60315973,51.35394522,50.54362228
SYNPCC7942_RS00075,11.39788052,12.76246626,13.39848164,12.94625089,11.415613,12.62617906,16.46365524,14.0802863,12.18624099,17.26525333,14.66728241,21.28995652,20.05038311,19.5027396,17.34846636,20.25925057,20.75152084,20.39036904,29.92344268,27.86428826,27.57379839,14.68888446,12.4262462,12.88384777,17.95203017,14.13031832,13.80187999,17.99927712,16.26208265,16.74257488
SYNPCC7942_RS00080,19.05875103,17.19493957,17.76255851,12.45954973,14.34027419,12.03432692,17.2716874,15.86825917,16.66494495,20.0904766,20.63197726,21.49970979,28.24301277,27.66204902,23.72951146,21.86516677,25.08569925,20.39036904,6.402538412,9.014916789,6.653379214,10.52703386,10.03974859,9.994742509,17.57169055,14.32126857,13.36785861,20.28087563,19.89965377,23.06052766
