,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS00005,607.9275499,582.7954784,551.8272883,975.6300702,884.9154181,822.4264465,975.1136875,961.3575161,1005.261196,1031.01188,1075.354397,1078.825656,961.8471461,1118.648596,1112.724409,985.3054002,916.4509881,853.791963,888.8866552,890.7183509,903.3833122,1319.278749,1446.428293,962.0398154,1201.548782,1200.140721,1160.674229,951.0444683,944.2505673,923.4939876
SYNPCC7942_RS00010,302.4614828,289.7833473,286.6207408,262.24454,260.79622,223.9228844,237.4465148,220.5055468,248.1070186,157.5927739,201.8825707,239.4971184,225.3278279,249.1582115,247.9608711,190.2838471,174.4966649,174.5470099,463.032212,459.1850012,439.7866047,399.9623357,431.3455802,335.5763883,316.6508206,267.8973155,263.5091835,184.5909095,201.1616459,184.045382
SYNPCC7942_RS00015,2057.138694,1768.566334,1912.452184,2982.15247,2965.312745,2368.216681,2620.354206,2786.070083,2380.544066,2374.989692,2444.909524,2299.172336,2635.550863,2684.346493,2851.550018,3268.711566,3577.868625,3634.366423,1303.249788,1335.658562,1315.858328,2560.100067,2721.52371,2326.283777,2744.045848,2624.01986,2781.387903,3281.170296,2854.736581,3055.806756
SYNPCC7942_RS00020,4618.046018,4923.088121,3877.616229,3263.487609,3846.246542,3090.548566,2103.248462,2291.390973,2263.976545,1843.391532,1660.712403,1451.134813,2140.053848,2168.599248,2033.279143,3644.066004,3395.128023,3731.78801,1519.556807,1568.602778,1503.537962,1682.570764,1864.859335,2109.337298,1793.309598,2115.701876,2062.245784,3516.590587,3250.464409,2721.475796
SYNPCC7942_RS00025,276.4217525,274.4466242,289.9152321,429.0360865,653.9813608,803.852198,639.5226132,803.8535541,928.2624662,910.042779,1169.701528,989.5585482,664.7731441,708.511622,702.5558015,281.5158286,296.7817293,299.0301487,631.346111,703.022292,654.0775299,600.3699026,677.5827777,723.9674624,573.733665,708.5049883,825.7796151,272.8735183,286.9026753,326.7077786
SYNPCC7942_RS00030,27.0412584,27.44466242,33.76853556,38.18119739,40.81162221,43.33991311,46.43398512,45.50114457,48.1242062,35.51386455,31.44904367,37.01319102,36.994121,27.68424572,33.06144948,18.2463963,15.11388436,18.94308634,28.39029621,25.97579386,35.7151542,60.54866915,33.57779965,35.75147962,48.59492791,31.40188314,49.35289055,18.726614,25.28261123,27.22564822
SYNPCC7942_RS00035,74.11307857,72.64763582,63.41895702,35.16689234,52.75648725,58.81845351,51.71057434,56.0014087,67.37388867,46.61194722,53.76771983,50.07667021,26.90481528,34.86164276,47.52583363,26.06628043,34.34973718,25.70847432,65.56806506,60.33087607,72.13060555,56.28467837,60.26784553,42.25174865,51.73008455,47.10282471,61.69111318,41.46607386,41.77127073,35.93785565
SYNPCC7942_RS00040,161.2460223,163.0535826,144.1339932,156.743863,153.2924346,162.0087228,191.0125297,170.3376181,217.0936413,147.6044995,131.8830864,183.9773318,116.5875329,125.091777,109.5160514,93.83860954,90.68330617,108.2462077,147.3591565,148.3134037,130.2552683,156.9148609,141.1989524,179.5699318,148.9199404,141.3084741,160.3968943,115.0349146,142.9017157,140.4843448
SYNPCC7942_RS00045,1101.680898,951.6840292,873.8638104,2594.311886,2519.371117,2047.294943,2394.516187,2481.562423,1924.968248,2174.114395,1924.478576,1605.719316,1807.106759,2090.673223,1949.592349,2785.182064,2660.043648,3068.779988,514.405129,578.1708957,500.0121588,2676.080617,2675.031373,2346.597117,2237.718051,2156.916848,1988.216448,3031.036238,2095.159,2010.341865
SYNPCC7942_RS00050,399.6097074,367.2741589,341.8034696,514.4413965,534.5327104,528.3341789,415.7952304,382.6762928,454.5063919,428.3859911,525.5033749,435.4493061,328.4629532,366.047249,399.8369047,308.8854231,350.3673193,370.7432613,333.9239602,326.7922454,337.5432221,330.8856849,443.3991493,323.3883839,419.3272005,525.9815426,423.0247761,434.7249679,466.0794418,479.1714087
SYNPCC7942_RS00055,250.3820222,298.6625028,205.9057046,380.8072056,565.3902784,649.066794,367.2506096,351.1755004,419.2153073,382.8838521,368.2581566,351.6253147,405.8142971,304.5267029,295.4867047,230.6865818,234.9522023,230.0231913,183.1850065,189.3719166,198.184091,252.4282545,253.9859205,437.9556254,324.4887122,402.3366277,389.5353147,290.262517,286.9026753,290.769923
SYNPCC7942_RS00060,1049.601437,859.6636905,891.9835124,6251.668689,4994.944396,4305.098036,4265.594724,4440.445032,3455.318005,3927.611457,3742.436197,3516.253147,3031.275854,3278.019762,3464.220003,3946.434857,3719.389542,4837.252406,1052.468838,1075.062694,972.012432,6493.205168,6787.020376,6032.249653,4944.925809,4768.179693,4064.563057,4529.165358,3830.865224,3704.86621
SYNPCC7942_RS00065,300.4584267,273.6394282,349.216075,291.3828222,229.938652,250.7523544,452.7313549,372.1760287,396.7573444,406.1898258,429.1272734,603.097289,914.7637194,873.5917539,927.7869261,3204.849179,2706.75929,3465.231723,598.9000581,579.8467533,544.8311759,354.7640333,328.0292736,249.4478237,527.4901046,541.6824842,557.8639235,1197.165681,992.6173019,1291.584752
SYNPCC7942_RS00070,278.4248087,325.2999693,341.8034696,260.2350033,367.3045999,365.2935534,365.1399739,375.6761167,443.8121238,430.6056076,460.576317,450.6900319,951.7578404,650.0671032,541.3812353,1148.219653,1030.492116,884.9127478,527.2483582,532.0848098,506.3148331,299.3321531,302.2001969,361.5774644,360.5430135,419.0188781,388.6540131,650.0810289,527.637104,522.7324458
SYNPCC7942_RS00075,122.1864268,134.8017242,144.1339932,133.6341909,120.4440558,132.0835447,172.0168085,147.0036978,125.1229361,183.1183641,152.172792,220.9905229,208.5123184,200.9671171,179.7716316,213.7434995,217.090339,211.080105,300.1259885,284.8958037,281.5194508,153.5036683,130.0063525,134.0680486,184.9742417,145.2337095,140.1269571,189.9413706,167.0850829,173.1551227
SYNPCC7942_RS00080,204.3117301,181.6190895,191.0804939,128.6103491,151.3016238,125.8921286,180.4593513,165.6708341,171.1082887,213.0831873,214.056394,223.1677694,293.7109001,285.0451967,245.8945305,230.6865818,262.4319921,211.080105,64.21614619,92.17217177,67.9288227,110.0109623,105.0382451,104.0043044,181.0552959,147.1963272,135.720449,214.0184457,204.4593778,238.4966784
SYNPCC7942_RS00085,200.3056178,205.0277722,214.9655556,67.31947961,104.5175691,92.87124239,98.14455946,93.33568117,134.7477773,123.1887176,119.709263,112.1281963,112.103397,114.8383526,142.5775009,75.59221324,57.70755847,69.00695739,200.7599518,167.5857669,189.0802281,91.24940281,104.1772759,112.9421743,98.75743414,105.9813556,103.9935908,74.90645601,83.54254146,90.38915209
SYNPCC7942_RS00090,90.137528,68.61165605,102.9528523,73.34808973,61.71513602,61.91416159,99.1998773,93.33568117,84.48471754,64.36887949,83.18779294,80.55812164,86.31961567,91.25547664,109.5160514,83.41209737,78.31740078,48.71079345,118.9688603,91.33424294,96.64100549,116.8333475,93.84564519,118.6299097,123.0548981,92.24303172,90.77406654,131.086298,78.04632163,82.76597059
SYNPCC7942_RS00095,1065.625887,1047.740348,1006.467084,1785.473362,1570.749752,1354.888236,2083.197423,1989.216705,1428.754211,2082.000309,1777.37821,1393.43778,1595.231339,1706.16981,1660.304666,2190.87087,2049.992315,2243.402654,565.1020865,610.0121914,563.0389015,2308.524611,2312.56333,1842.013734,2130.338936,1930.234504,1848.089491,2418.408437,2040.196802,1793.625705
SYNPCC7942_RS00100,1304.9911,1305.235857,682.7833165,2908.80438,4215.541953,3556.968583,1672.678782,1942.548864,4209.263902,1982.117565,1725.639461,1521.895325,1462.949331,1592.3568,1785.318272,1410.185771,1133.541327,1374.726837,1252.55283,1602.95786,1496.534991,3134.886025,4101.657373,3919.662221,3762.187967,3874.207332,2568.994213,1912.789859,948.6475432,949.6306099
SYNPCC7942_RS00105,87.13294373,66.19006819,73.30243084,117.5578972,183.1545972,405.5377584,178.3487156,140.0035218,233.1350433,183.1183641,103.4774985,138.2551547,110.982363,122.0157497,112.6155623,160.3076246,103.0492116,112.3054405,79.08725373,91.33424294,95.94070835,307.8601347,344.3876888,422.5174865,284.515465,507.3366745,500.5793184,223.3817527,115.4206165,96.92330766
SYNPCC7942_RS00110,61.09321342,67.8044601,83.18590466,47.22411257,62.71054144,53.65894005,73.87224905,80.50202501,74.8598763,55.49041336,75.07191071,67.49464245,44.84135879,61.52054605,58.89070689,54.7391889,56.33356898,70.36003499,98.6900773,95.52388711,73.53119983,47.7566968,46.49233798,41.43921502,61.13555447,57.89722204,44.06508085,57.51745729,43.96975866,63.16350387
