Protein,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
6PGD_SYNE7,24.8551824,24.77448033,24.85508115,24.65640997,24.62590737,24.66650825,24.59058749,24.52003813,24.53029471,24.49513323,24.44941557,24.56796477,25.0099533,24.99571202,24.99670971,24.97078734,24.88871487,24.96470278,24.90763251,24.85618337,24.86601867,24.63847442,24.65950102,24.69577951
A8DZ36_SYNE7,19.77911956,19.75966364,19.78248256,19.9149037,19.96598692,19.997244,19.92773775,19.92649897,19.90100327,19.82269822,19.98927535,19.85495771,20.1908199,20.11773661,20.07092417,20.01795468,20.17382799,20.07135788,20.11791482,20.02641195,20.14941423,20.03393497,20.02406522,19.99352632
AAR_SYNE7,23.21821122,23.14106108,23.22448414,23.25288395,23.25808775,23.21528121,23.33692329,23.31004022,23.33935991,23.39177613,23.38687671,23.39072437,22.93572823,22.95663143,22.91496858,23.02678649,23.02610553,22.99607628,23.19851105,23.21979526,23.25687379,23.45728794,23.47820572,23.50247307
ACCA_SYNE7,22.81606326,22.80083064,22.87123456,22.77450842,22.74669428,22.75574568,22.80998912,22.81443241,22.75542027,22.70077201,22.75318069,22.75706136,22.74011011,22.80169359,22.73909623,22.75363163,22.71416581,22.75525369,22.83967912,22.78042268,22.73794741,22.74009674,22.65477966,22.77175919
ACCD_SYNE7,23.52918588,23.53429734,23.57374478,23.45152864,23.43039255,23.45060189,23.41894242,23.35175815,23.42439124,23.45672591,23.45912712,23.41719295,23.50990382,23.52956055,23.4920773,23.45020064,23.41901046,23.46863968,23.44940924,23.49361623,23.5078653,23.50439189,23.52852553,23.52366252
ACP_SYNE7,23.12190606,22.96126162,23.06036597,23.1543223,22.87812285,23.08725254,22.96097809,22.89180674,22.88257936,22.78436245,22.67698124,23.11006741,22.8683764,22.69456539,22.55637716,22.49727613,22.37428039,22.59374767,22.61237872,22.50268086,22.67387721,22.62990495,22.6348548,22.6407034
ACSF_SYNE7,23.40997976,23.37064463,23.46580765,23.3230201,23.32061782,23.25255459,23.44777298,23.47624593,23.42179511,23.66169987,23.63120404,23.61673189,22.87308469,22.94597015,22.81309605,22.84634809,22.80740797,22.88278136,23.1849098,23.13227514,23.18583076,23.77388579,23.72333087,23.7685356
ALDEC_SYNE7,22.96669106,23.03079746,23.20514231,23.18994277,23.12699546,23.11988374,23.12865787,23.06667819,23.08699822,23.1772584,23.08045327,23.08508949,22.55057909,22.62936165,22.42365133,22.97760842,22.90117861,22.89993499,23.16838549,23.12012037,23.0603161,23.45648638,23.40723958,23.47471243
AMPA_SYNE7,24.01286634,24.04379141,24.12556422,23.92453301,23.92020696,23.97110641,23.87522905,23.8891531,23.87430374,23.84492645,23.87548558,23.86928145,24.04709578,24.02444539,23.98661095,24.0609526,23.98434097,24.04268743,23.97941417,23.9808265,23.98726282,23.93809829,23.94069309,24.06764356
ANMK_SYNE7,20.32930244,20.32704603,20.36709667,20.24329299,20.26289561,20.29470123,20.29465644,20.2452944,20.23454656,20.18850735,20.23253884,20.1659518,20.34748345,20.42252165,20.34630873,20.2308012,20.3277493,20.37804996,20.34061997,20.32500979,20.38986427,20.36277168,20.27551516,20.22087237
ARGB_SYNE7,23.13303502,23.16800334,23.15522925,23.0548597,22.98755951,23.02179911,23.01542411,22.94139161,22.96572495,22.91907616,22.88188388,22.9674505,23.08679777,23.09597533,23.10502405,23.12654356,23.08729117,23.12886917,23.1425468,23.13177951,23.16596983,23.08131607,23.09956222,23.15618281
ARGC_SYNE7,21.41690397,21.3053902,21.34013898,21.41787708,21.38127332,21.46518885,21.49107716,21.39083225,21.43570802,21.37551287,21.48005958,21.49460671,21.50742014,21.5003833,21.56884666,21.37562005,21.45104933,21.45388965,21.40042445,21.42908168,21.39928492,21.42679025,21.48537418,21.27017958
ARLY_SYNE7,22.89398375,22.83619947,22.84373428,22.86006066,22.81853499,22.84737757,22.80625444,22.82084201,22.80461516,22.79461581,22.74867455,22.81975562,22.74989609,22.77114602,22.76935945,22.79674091,22.78603797,22.7682067,22.80990905,22.80309214,22.81832814,22.81838924,22.82820044,22.84838518
AROA_SYNE7,22.37193172,22.3699782,22.36771455,22.39464808,22.3777161,22.42036265,22.39634769,22.42869406,22.3292114,22.39775079,22.38407093,22.43485491,22.3041131,22.2043734,22.2985873,22.18510857,22.27261257,22.2531612,22.28556307,22.26178412,22.30410132,22.52880254,22.52667795,22.43102185
AROC_SYNE7,22.10378543,22.03745556,22.11385944,22.0553992,22.03645577,22.0697252,22.07900617,22.02608326,22.06201981,21.98413929,21.96318273,21.9889562,21.94291926,21.9993822,21.95294747,21.98283693,21.91978588,21.91630458,21.98239647,21.89045477,21.98643281,21.95335423,21.98938934,21.99106593
AROK_SYNE7,19.2040532,19.11127708,19.28550651,19.16469374,19.23335816,19.20376012,19.19888576,19.22123625,19.23121923,19.27619691,19.25479654,19.13261803,19.29963392,19.312254,19.38624747,19.01464784,18.8967598,18.90362083,18.87599084,18.92124158,18.83381859,18.93928861,18.87142725,18.89930615
