,Se_axen_d4_1,Se_axen_d6_3,Se_axen_d8_2
EX_gln__L_e,0.0,0.0,0.0
EX_hco3_e,0.021645835457033392,-0.29733053079057803,-0.233721707905586
EX_mn2_e,0.0,0.0,0.0
EX_arg__L_e,0.0,0.0,0.0
ADPT,2.6344110554450105e-06,8.4070209258588e-06,6.6084814229157155e-06
O2tcx,0.0,0.0,0.0
AOXPBDC,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
DNTPPA,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
CBMD,0.0,0.0,0.0
BIOMASS_PIGMENTS,0.0002710483456621593,0.0008649785724176636,0.00067993108111118
H2Otu_syn,-0.6080655682426792,-0.4551072414069049,-0.32005460250018486
DTMPK,7.268787414297688e-05,0.00023196398212529143,0.00018233922339193785
BIOMASS__1,0.01375879927219083,0.043907541747089524,0.034514268076709646
ORNTA,-0.0008984848150001977,0.010392282862934933,0.00816903024829687
ATPM,0.0,0.0,0.0
ACOATA,0.0020413908086348025,0.006514554822630613,0.005120876337004199
5DOAN,1.4293603799894486e-06,4.56142278948171e-06,3.5855837676851778e-06
3HAD160,0.005861106089785306,0.01870415835206754,0.014702720986543927
RNDR3,9.038124972543757e-05,0.0002884276757707126,0.00022672346768200797
Htex,0.03373776520847842,-1.0564491635410829,-0.7087310551150073
G5SD,0.004154994476018248,0.0,0.0
HISTDa,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
TRPS3,0.0003277610155581882,0.001045961946895827,0.0008221961329819312
DMBZIDS2,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
HSTPT,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
ZCAROTDH2,0.0,0.0,0.0
ORNDC,1.7682808824619654e-06,5.642997265335946e-06,4.435773733218724e-06
GND,0.0,0.855657959109179,0.5740479222132191
CMPA_1,0.0,0.0,0.0
U23GAAT2,0.00013135306537707795,0.0004191783081906886,0.0003295022204652131
HOXGfx,1.4202933312854797e-05,4.532487719466349e-05,3.562838865023288e-05
PGK,-0.11939358015381976,-0.8091183959261616,-0.7536600891152132
IMPD,0.00146647318628251,0.004679858421790528,0.003678682105709795
LPOR,0.00015425361351661948,0.0004922593055628477,0.00038694877826039864
CHRPL,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
GCALDDy,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
MSBENZMT,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
DESAT18a,0.0013424843523810604,0.0042841810961022865,0.0033676532312321393
FUM,0.00817305325022892,0.02608212167990734,0.020502294226633012
PHYFXOR,1.4202933312854797e-05,4.532487719466349e-05,3.562838865023288e-05
TMPPP_1,3.4874428515158096e-07,1.1129244606652988e-06,8.748331529404019e-07
VPAMTr,0.07353587330049394,0.5655247881268513,0.6174631341869634
RNDR1,7.268787414297688e-05,0.00023196398212529143,0.00018233922339193785
TALA,-0.03140911900957323,-0.024337556541357247,-0.05334589791805332
GLYCL,0.00020880469349397052,0.2846124115071751,0.30637148134339987
ACONT,0.015817602663531955,0.050477664187708826,0.039678824282532776
NDPK7,9.038124972543757e-05,0.0002884276757707126,0.00022672346768200797
GTPCI,2.5630249013018684e-05,8.179211036260697e-05,6.429407594425812e-05
AIRC2,0.0026298835574393655,0.008392572622393662,0.006597124088833973
IGPS,0.0009832830466745645,0.003137885840687481,0.0024665883989457935
MTAP,1.2050506754555617e-06,3.845598136377089e-06,3.0228976552305378e-06
HEMEAS_1,0.0,0.0,0.0
DHORD3um,0.0025988633263292447,0.008293579820327697,0.006519309117399034
MTHFC,0.006257979985990341,0.5878628095727436,0.6273936682122992
HBZNPT,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
GCATENEC,0.00015422650868176862,0.0004921728077056505,0.0003868807851522613
COCHL_1,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
HSDy,-0.004731864840170717,-0.015100485798300211,-0.011869993039763554
TRPS1,0.0006555220311163764,0.002091923893791654,0.0016443922659638624
HISTDb,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
UPPDC1,0.0001688052911146265,0.0005386971072181746,0.00042345200006357187
GARFT,0.0024471720827951857,0.008393685546854327,0.006597998921986914
H4THDPR,0.0032872974372146462,0.010490533847044018,0.008246262101172491
UDPG4E,0.0005797568975113464,0.0018501396580509317,0.0014543336656180385
GLCS3,0.007068523688075181,0.02255730989198689,0.017731556122771486
AICART,0.003810807903195155,0.012161178006166394,0.009559500284706639
ASPTA,-0.0245602653192523,-0.12528611818903668,-0.1887589922225639
GLYOX,0.0,0.0,0.0
PRAGSr,0.002630232301724517,0.008393685546854327,0.006597998921986914
SQD1,0.0002634014465324027,0.0008405755314158081,0.0006607486567368798
ACKr,-0.0367057788079498,-1.044901131163112,-0.6551247733356359
UDCPDPS,1.5718052288550804e-07,5.015997569187508e-07,3.94290998508331e-07
GK1,0.0014665435900583859,0.004680083096681648,0.0036788587152195434
SHKK,0.0053843079684623716,0.0171825841941225,0.013506661806359885
OXADC,0.0,0.0,0.0
G1PACT,0.0014775775247958328,0.004715294959325605,0.0037065375972160737
3HAD60,0.006124172425904408,0.01954366446789184,0.015362629011012596
PGI,0.0380727780537662,-0.4012002001516412,-0.2233232714092056
KAS14,0.0020413908086348025,0.006514554822630613,0.005120876337004199
OHPBAT,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
PQH2tum,2.4559456701656046e-07,7.837496203144667e-07,6.160796850451788e-07
O2tu,0.3040327841213396,0.22755362070345245,0.16002730125009243
O2tpp,-0.20854977200885483,1.1028523647555244,1.0102648942337873
H2Otex,-0.15114710216138033,-2.2212840826000493,-1.8879115385856127
