Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
1)PDO,59582.0,2802.0,123090.0,51434.5,-24102.5,16509.5,-36135.5,-22385.0,-40031.5,-87508.5,-8339.0,-14764.0,43221.0,12352.0,-15890.5,44767.0,-8951.0,12216.5,9757.5,-78674.0,1868.0,-43081.5,-4924.0,-17287.0,-162045.0,81979.0,-21632.0,165199.0,-19730,-31689,43896.0,45316.0,-29054.0,7979.0,41884.5,44905.0,-29836.5,-61719.5,12502.0,1401.0,-26914.5,-38403.5,20379.0,31300.5,-10967.5,-48686.5,8418.5,-19858.5,3339.0,-34320.5,12960.0,-11031.0,-65894.0,29284
2)BDO,11225.0,11965.0,21292.0,-650.0,-9510.0,3280.0,-12395.5,-7767.5,-9566.5,-12525.5,14936.5,-5901.0,24104.5,3576.5,-4319.5,23670.5,-13184.0,3467.0,-28637.5,-17598.5,-119.0,-19556.0,4510.0,-5333.0,4510.0,25119.0,-2256.0,19859.0,1042,474,5391.5,4305.5,2384.0,12357.5,5775.0,-6216.5,-964.5,-3771.5,-4466.0,-3098.5,-84.5,9195.5,8000.5,2503.0,-4467.5,-14294.0,-4001.5,-1908.5,-2335.5,-37703.0,-1212.0,10395.0,-73752.0,-18138
3)2-HPY,173018.0,-35629.0,44975.0,53279.5,-58522.5,-18638.0,-51652.0,-43705.0,-50940.5,-4385.0,7139.0,-36917.0,-28868.5,-29267.0,-31441.0,-19935.0,-51121.0,7599.5,35899.5,-24670.5,-12404.0,7846.0,-11172.5,6510.5,-10165.0,3560.0,61706.0,131953.0,-84470,84847,39292.0,-35242.0,-22292.5,-41006.5,-89263.0,-63188.5,15116.0,-19635.5,-33687.5,-13840.0,111155.5,-4860.5,-53812.5,11126.5,23249.5,22400.0,10544.5,5813.5,2793.5,-19815.5,41404.0,-60282.0,-107537.0,56971
4)HCAFFA,13902.0,-3282.0,2259.0,2619.0,-4486.0,-297.0,-8773.5,-2972.0,-3349.0,-2602.5,-1226.5,-4335.5,-6793.5,-2920.0,-2385.0,-8516.5,-2064.0,933.5,1517.5,-738.0,-1208.0,-849.0,-674.5,-1905.5,-4501.0,-360.0,416.0,685.0,-695,1050,-795.0,174.5,-511.0,-1814.0,-410.5,-1846.5,-2799.0,-294.0,-362.0,-694.0,567.0,70.5,0.5,-595.0,-843.5,-752.5,287.5,168.0,937.5,-1003.0,521.5,524.0,-3628.0,-224
5)m-HBA,24094.0,-2689.0,5573.0,-2112.0,-3868.0,2909.0,-23595.0,-2896.0,-1788.0,-13480.0,-2537.5,-1604.0,-11974.0,-3038.5,-5789.0,-7920.5,-3848.5,-5596.0,-928.5,-3958.0,-870.0,-4166.5,-635.5,-685.0,-6457.0,695.0,1369.0,-8664.0,906,2843,-4289.0,883.5,176.0,-2166.0,882.0,-634.5,-2978.0,-1145.0,-113.5,-202.0,-1413.5,-1924.5,571.5,219.0,444.5,2359.5,-694.5,355.5,-437.0,-1084.5,-930.0,-5584.0,-708.0,718
6)p-HBA,1920.0,-7590.0,-7072.0,-1014.5,-5331.5,-3212.5,-4353.5,-312.5,4035.5,-2820.5,-475.0,-1834.0,-3005.5,-5510.0,-8042.5,-1994.5,-1509.0,145.0,1232.0,1403.0,732.0,-107.5,-2066.0,-2148.5,-1540.0,-2334.0,-478.0,-5828.0,763,5638,-1532.5,972.0,1579.0,819.5,3465.5,-2488.5,-2529.5,1568.5,-1020.5,51.0,-2382.0,2497.5,1889.5,-1916.0,810.0,1893.0,1359.5,134.0,-2246.5,818.0,1859.5,-8537.0,-2764.0,532
7)ART,7291.0,-1875.0,7879.0,1613.5,-7206.5,-3285.0,-4098.5,-7024.5,-7962.0,-2768.5,-612.5,-2657.5,-3258.5,-2184.0,-1920.0,-2556.5,-2327.0,83.5,0.0,0.0,0.0,0.0,0.0,-32.5,0.0,0.0,102.0,7693.0,4226,5050,3949.0,5264.5,945.5,-1614.0,-2616.5,-4533.0,-4807.5,-3176.0,275.0,-3387.5,5107.0,1308.0,-795.0,-1199.0,-3490.0,327.0,723.5,-1166.5,1443.0,-2645.5,4379.5,1235.0,-14166.0,7953
8)BZA,41748.0,-5767.0,40395.0,16389.5,3487.0,18097.0,25473.0,30561.5,-10350.0,-385.5,16357.0,-16799.5,-57270.0,-35155.5,-26750.0,-29263.0,-29658.5,-8239.0,-8838.0,-19639.5,-367.0,-1794.5,-1637.5,3088.5,9415.0,31330.0,26833.0,46740.0,7445,23763,88692.5,65230.0,52925.5,1803.0,15245.0,18677.0,-83691.0,-34668.5,-18102.5,-30144.5,23198.0,-26397.0,-13110.5,-25685.0,-52963.5,3239.5,-15200.0,-2334.0,15482.5,-2626.0,21771.0,18211.0,-49430.0,3606
9)CAFFA,18510.0,-10474.0,12487.0,-137944.5,-22505.5,3758.0,-228143.0,-18786.0,-7617.0,-83041.5,-7750.0,-7655.5,-73641.0,-14143.0,-4293.0,-72519.0,-9810.5,-140.5,-3618.5,-3046.5,-163.5,-14768.0,-3215.5,-2049.5,-24251.0,-4138.0,-515.0,-976.0,1720,1808,1262.5,1493.0,498.5,-1614.5,-1419.5,-1124.5,-4614.0,-932.0,-209.5,-1810.0,1965.0,591.5,-1065.0,-1103.0,-336.0,-1245.0,-1678.5,-347.5,105.0,459.0,-345.0,1692.0,380.0,-831
11)CGA,2974.0,-1058.0,-1032.0,-17757.0,-1495.0,-1400.5,-31132.0,-1226.5,1366.5,-9975.5,-819.5,-551.0,-7316.5,-2790.5,-2780.0,-10355.5,-1623.5,44.0,-2466.5,-38.5,-538.5,-3649.0,-1293.0,-544.5,-4618.0,-1293.0,32.0,2878.0,1767,-422,1254.0,810.0,667.5,-170.0,-1192.5,-31.5,-998.0,338.0,1837.5,-991.5,-242.5,1237.5,409.0,-1475.0,-1969.0,-8.0,1958.5,2157.5,-977.5,-349.0,-360.0,-1164.0,-4166.0,-5953
13)CIT,237904.0,-108617.0,197573.0,-86842.5,-255387.5,-64794.0,-300311.5,-200427.5,-173760.5,-25870.0,8130.0,-12772.5,-67692.5,-30234.5,-31457.5,-115061.5,-34657.0,41280.0,30134.5,-10179.0,20000.5,-25831.0,-2686.5,18609.0,-69375.0,21097.0,137507.0,6880.0,-67523,-15162,-27996.5,-25100.5,-94981.5,-71838.5,-31506.5,-120231.0,-56374.5,-38534.5,-27608.0,-21552.5,13811.0,-1174.5,-3991.5,-1696.0,-10972.5,-1105.0,-10322.0,-3358.5,3807.5,-3913.5,9762.0,13002.0,-14931.0,17090
14)FRU,64189.0,65253.0,62674.0,106393.5,92416.5,111321.5,134721.5,94097.5,113134.0,120947.5,88793.5,281355.5,41447.5,84296.0,34776.0,-33490.0,55248.5,-68438.5,-22124.0,-2995.5,28350.0,-68329.0,-134450.0,-94991.0,-121235.0,-212032.0,43301.0,51887.0,59257,84670,48197.5,55259.5,34878.5,33744.5,15040.5,-3869.5,-2628.0,-4683.5,16917.0,368.5,35571.0,30509.0,10438.0,18167.0,-1554.0,4349.5,-12723.5,15840.0,32507.0,-20053.5,33009.0,48217.0,-37654.0,-3128
15)GLC,-2788.0,19406.0,27057.0,9238.5,12255.0,21952.5,17684.5,12230.5,2245.5,1192.0,9326.5,-4054.5,-9785.0,-16402.0,-11057.0,-8033.0,-16234.0,-1659.5,-6235.0,1481.5,13819.5,-331.0,44.0,-921.5,3592.0,-3243.0,-6439.0,20480.0,18234,26784,22869.0,25855.0,18683.0,17395.5,15085.5,7738.0,2920.5,11912.0,19518.0,9268.5,30844.0,22242.0,-9477.0,3466.5,-1149.0,7795.5,-9002.5,-7766.0,46270.0,2381.5,13666.0,35766.0,-4858.0,30224
