Sample,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
13ppd,-29836.5,-61719.5,12502.0,20379.0,31300.5,-10967.5,3339.0,-34320.5,12960.0
3hbz,-2978.0,-1145.0,-113.5,571.5,219.0,444.5,-437.0,-1084.5,-930.0
4hbz,-2529.5,1568.5,-1020.5,1889.5,-1916.0,810.0,-2246.5,818.0,1859.5
aso4,-4807.5,-3176.0,275.0,-795.0,-1199.0,-3490.0,1443.0,-2645.5,4379.5
bz,-83691.0,-34668.5,-18102.5,-13110.5,-25685.0,-52963.5,15482.5,-2626.0,21771.0
34dhcinm,-4614.0,-932.0,-209.5,-1065.0,-1103.0,-336.0,105.0,459.0,-345.0
fru,-2628.0,-4683.5,16917.0,10438.0,18167.0,-1554.0,32507.0,-20053.5,33009.0
glc__D,2920.5,11912.0,19518.0,-9477.0,3466.5,-1149.0,46270.0,2381.5,13666.0
rib__D,22172.5,20201.0,42754.5,41518.0,72704.5,-21940.0,27227.5,-7543.0,113750.0
xylt,6494.0,9995.5,6508.5,14333.0,21114.0,22328.0,11466.0,-6065.5,6684.0
etham,-25333.5,-20637.5,-12345.0,-7945.0,-4140.5,-12931.0,-9120.5,-24014.5,32349.0
glyclt,-1647.5,-6290.0,9961.5,10642.0,10872.5,-1739.5,-2490.5,-21424.5,11081.0
hqn,268.0,-1758.5,-788.5,-2846.0,-483.5,-343.5,-651.0,-1252.0,-633.0
lac__D,-363055.0,-1994.5,38890.5,-53525.5,113384.5,-58591.0,249366.5,931.5,45519.5
mal__L,-5210.5,-6256.5,566.5,857.5,618.0,-8922.5,-1149.5,-1102.0,5929.5
malt,24034.5,31873.5,63007.0,58813.5,47490.5,-30517.0,64329.0,20244.5,187967.5
inost,-73851.5,-48794.0,-36551.5,-9850.5,-10052.5,-22135.5,1293.0,-4623.0,13440.0
oxa,-16426.0,-6461.0,954.0,1461.5,-611.0,-4166.0,4347.5,1205.0,5843.5
hdca,-23224.5,-24875.0,-4337.5,18001.0,-20044.0,-40379.0,-16732.5,21482.5,55572.5
pi,-944095.0,-103136.5,29914.5,20168.5,-328028.0,-160913.5,235968.0,-72994.0,369008.0
quin,-1436.0,-1933.5,-680.0,-656.5,434.5,-2271.0,-919.5,-600.5,3372.5
ocdca,-31043.5,-32774.0,9740.5,23103.5,-116.5,-21780.5,-17782.5,-2013.0,33024.5
sucr,-65369.0,10710888.0,19181948.0,2621841.0,1327111.5,-16085323.5,11874149.0,-4867123.0,33664394.0
thym,-15050.0,-33243.5,-29026.5,10953.0,35106.5,14502.0,2812.5,-35628.5,-33600.0
ala__L,80441.5,109770.0,60844.5,86273.5,207661.0,162223.52000000002,30414.5,-103606.5,-143885.52000000002
val__L,47636.0,64596.0,40126.5,57499.0,157738.5,107467.95499999999,22131.0,-75014.0,-79951.95499999999
leu__L,82104.0,103852.0,72869.0,80626.0,195764.0,156554.45750000002,20849.0,-97513.5,-129637.95750000002
ile__L,99047.0,105727.0,74202.5,121297.0,252556.0,129342.93,-20234.0,-120613.5,-84658.43
pro__L,42235.0,53178.0,39994.0,15020.5,57997.0,32765.395000000004,13840.0,-25347.5,-36823.395000000004
glyc,2432.0,3342.5,2437.5,8920.0,20554.0,12331.875,-2872.0,-13655.5,-8450.875
met__L,15236.5,20003.0,14627.5,12501.0,35974.0,29251.25,6622.0,-16879.5,-25159.25
ser__L,24692.0,32300.5,17284.0,22876.5,69960.0,37365.729999999996,10412.0,-43976.5,-42017.729999999996
thr__L,25585.5,38234.0,23966.0,19672.5,69025.0,51832.59,19506.0,-24242.5,-57317.59
phe__L,32293.5,41950.0,30814.5,25637.0,80532.5,56631.51999999999,19638.0,-31757.0,-40811.51999999999
akg,-970.5,-1059.0,-2390.5,11443.5,29872.0,17709.775,11619.5,-19854.0,-9874.775000000001
glu__L,78262.0,98218.5,64463.0,46482.5,116605.0,67132.32750000001,25667.5,-79679.0,-53901.327500000014
asn__L,41140.5,56776.0,25457.0,58975.5,128981.0,92430.0,-9942.0,-83251.0,-101690.0
lys__L,-932.0,5669.0,-206.5,337.0,3556.5,2586.7625000000007,949.5,-3011.5,-4059.7625000000007
gln__L,-7079.5,119.0,9606.5,-10820.5,-16041.0,-19153.1825,18325.0,26945.5,37135.682499999995
his__L,13354.0,17299.5,13503.5,-4461.0,1005.0,1342.7625000000007,4017.5,-7348.5,-8714.7625
tyr__L,59872.0,72941.5,56298.0,19859.0,98832.0,72830.55249999999,24165.5,-78295.0,-76065.05249999999
trp__L,852.0,1637.0,1496.5,572.0,1222.5,883.3249999999998,3374.5,34434.0,15200.675
