Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
1)PDO,537254,641368,541050,596836,644170,664140,640123,593163,574069,524565,599400,584077,465106,576485,544541,611007,624104,552296,554640,558583,568974,630522,466756,556032,468477,548735,534400,532987,636685,663619,698186,616955,631930,620779,727317,605511,714144,700724,721740,561106,603878,630515,716946,646895,644933,601864,666479,608580,619573,663732,605216,608542,597838,634500
2)BDO,68406,76317,78862,79631,88282,100154,67106,57297,85422,54840,72747,81021,42055,87170,73620,103049,79900,72382,89396,60802,80554,45774,44703,72144,50284,69822,69888,78419,107266,123578,98278,108308,124052,89202,115877,128346,122993,119858,111619,87273,108334,119414,116796,119689,130010,103274,113340,110479,88208,111686,126193,98603,37934,108055
3)2-HPY,348831,595523,534314,521849,559894,579289,455390,478478,497038,418545,472484,477408,446620,492756,423204,360808,413950,414526,406750,390514,438403,432607,364609,389718,422442,368169,451424,546766,741237,695306,678719,656767,780153,625350,670753,650721,596706,478241,653776,655582,631482,583346,569026,700552,644055,547957,653735,629845,613826,721641,655682,553544,614104,712653
4)HCAFFA,32860,25425,17270,46762,22143,19529,38098,16453,16676,29215,16199,12831,32893,14000,8005,15628,10359,8061,15860,9872,9872,18663,8883,5645,14162,8523,6061,11068,6061,6036,11753,5366,7086,9478,6410,5014,8125,4545,3393,3880,5822,4290,6737,5679,3534,3881,4632,2603,5232,6254,3870,5756,2626,3646
5)m-HBA,93751,47656,29530,117845,44967,35103,89527,39920,35348,70655,39175,31527,62567,34845,32140,46707,33098,19949,46726,27148,20948,44850,25182,18209,38393,25877,19578,29430,14899,12112,20766,15805,14955,20852,16666,12464,16434,17569,13686,14896,14376,12237,16030,14742,9837,16039,14814,13126,20749,13353,10548,15165,12645,11266
6)p-HBA,22277,23522,18415,24197,15932,11343,20248,12859,11990,15490,15307,19414,14607,11909,8322,9479,4287,3329,10618,8891,8612,11943,7093,4793,10403,4759,4315,11941,1734,966,6113,2497,6604,8876,3678,4124,7752,9428,1627,3817,6815,2083,7854,4664,6622,7596,2983,3703,11640,7383,6890,3103,4619,7422
7)ART,7423,20292,11885,14714,18417,19764,10650,5879,5315,6517,4368,3840,5113,4654,0,0,0,0,0,0,167,0,0,0,0,0,102,7581,5448,10320,15274,9674,15370,15479,15977,12211,12046,4441,6304,5864,9625,12761,5271,14655,8920,4274,7227,5781,5925,16102,6587,7160,1936,14540
8)BZA,127518,127597,130866,169266,121830,171261,160297,134571,167060,220212,182953,150561,159526,167285,133461,105672,112642,97061,101000,107968,116983,87996,73363,96327,97411,104693,123160,129720,137000,170529,176460,144445,194292,307105,267460,276380,180066,174935,231646,139723,198123,240175,119777,221331,178852,113502,146753,134248,126256,190931,174184,144467,141501,177790
9)CAFFA,678542,105687,22527,697052,95213,35014,402653,60676,30043,240766,57641,19780,236570,45176,14732,93484,29355,11194,91532,25555,14451,86247,23262,10867,61996,19124,10352,15235,5130,3006,14259,6850,4814,17760,8116,4003,11030,4011,2565,8532,6252,3584,7410,7941,3748,6402,4046,2912,4920,4584,3053,6612,4964,2222
11)CGA,88183,11036,5499,91157,9978,4467,52669,8046,2698,28893,7525,7200,32718,6407,1596,14260,1944,1640,12007,3160,1684,9327,1867,563,4709,574,595,1789,3045,1781,4667,4812,1359,4297,4665,3116,4327,2427,1296,2301,5341,6791,2344,1942,3771,3119,2391,2853,2328,5859,8086,1164,1693,2133
